"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Healthtech","Seed","LATAM","B2C","No",1,12,2,2,13,4.06,0.1,110.96,21.9,22.3,55.37,1246.52,72.8,25.5
"Fintech","Seed","Norte América","B2B","No",6,67,1,2,7,1.25,1.75,100.04,15.7,4.52,209.26,2500.56,69,-7.9
"E-commerce","Series A","Europa","B2C","Sí",10,141,3,4,11,21.77,6.76,274.23,22.4,31.31,38.48,1207.75,49.2,8.6
"Fintech","Series A","Asia","B2B","Sí",4,53,3,3,8,3.11,4.14,60.53,13.4,11.22,354.91,3512.04,73.6,3.1
"Healthtech","Series A","Norte América","B2B","Sí",2,70,2,2,19,15.88,3.4,188.26,30.2,9.28,272.69,2815.48,38.5,26.2
"Fintech","Seed","Europa","B2C","Sí",4,24,2,1,6,8.49,1.47,119,21.7,37.25,80.25,1461.46,56.3,-48.1
"Fintech","Series B","Norte América","B2B2C","Sí",10,183,4,5,7,99.74,3.96,1105.23,10.9,3.81,79.8,1454.64,27.3,-2.1
"Healthtech","Series B","Norte América","B2C","No",12,271,3,6,25,76.79,10.41,1077.19,5,11.41,28.81,2438.48,51,-4.6
"Fintech","Series C+","Europa","B2C","Sí",15,572,5,13,14,355.16,21.17,5000,16,11.9,119.31,2685.98,20,44
"E-commerce","Series A","Norte América","B2B","No",4,13,3,1,7,0.1,4.17,100.47,21,0,196.72,5098.04,73.4,-12.1
"SaaS","Series A","Norte América","B2B","Sí",12,159,2,4,24,20.66,10.9,303.68,8,14.62,99.91,5055.65,81.4,-50
"Fintech","Series B","Europa","B2B","Sí",14,288,3,8,9,90.5,15.39,1039.63,5,0,130.06,6032.77,87,76.9
"SaaS","Series B","Norte América","B2B","No",7,115,3,3,7,37.06,2.29,429.38,5,0,63.63,3130.64,95,64.9
"Healthtech","Seed","Asia","B2B","Sí",7,63,2,3,23,12.64,1.26,124.97,31.8,8.84,73.93,2128.33,80.4,40.9
"Fintech","Series A","Europa","B2B","Sí",12,176,3,6,9,22.06,9.02,206.66,5,4.56,190.82,5018.26,65.9,40.1
"E-commerce","Series A","Europa","B2C","No",11,129,2,5,8,23.89,8.68,297.96,8,44.63,95.53,2138.83,41.8,78.1
"Healthtech","Series B","LATAM","B2B","Sí",14,308,3,7,40,88.01,9.37,1176.77,28.3,1.88,216.69,6080.48,95,20.1
"E-commerce","Seed","LATAM","B2C","Sí",12,86,2,5,16,13.12,7.99,196.09,25,10.44,27.74,1366.68,70.1,35.8
"SaaS","Series A","LATAM","B2B","Sí",11,170,3,4,22,23.08,9.01,258.82,18.6,0,5,6286.08,92.1,27.9
"Healthtech","Series A","Norte América","B2B","No",13,162,2,7,28,19.15,4.58,252.73,22.3,0,70.05,3303.38,57.9,18.6
"Fintech","Series A","LATAM","B2B","Sí",11,130,3,6,15,29.91,8.02,256.75,31.5,7.83,282.6,4559.06,78.8,63.1
