"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Healthtech","Series C+","Asia","B2B","No",8,273,4,8,30,195.86,3.22,3547.05,26.9,1.35,183.38,1987.43,85.2,32.3
"Healthtech","Series B","Norte América","B2C","No",12,214,3,7,22,68.99,4.21,911.94,5,16.45,68.71,1024.66,75.9,29.5
"Edtech","Series A","Norte América","B2C","Sí",10,103,2,4,7,12.52,3.99,106.31,5,0,55.64,1340.32,47.5,21.9
"Edtech","Seed","Norte América","B2B","Sí",9,94,2,3,9,7.98,1.51,36.37,15.8,0,90.13,5871.93,95,-4
"SaaS","Series A","LATAM","B2B","Sí",2,65,3,2,14,12.84,1.64,152.04,32.9,15.88,139.85,1871.9,80.9,23.4
"SaaS","Seed","Europa","B2B","No",6,33,1,3,18,6.03,1.16,37.04,22,5.46,72.62,2595.27,73.3,38.5
"E-commerce","Seed","Europa","B2C","No",5,64,2,3,4,8.96,6.31,86.41,7.1,28.36,91.08,688.75,40.9,40.5
"Edtech","Series B","Europa","B2B","Sí",4,40,4,2,2,11.77,2.9,204.32,7,3.06,220.98,3452.49,28.7,-4.8
"SaaS","Series A","Asia","B2B2C","No",2,34,3,1,14,3.55,0,130.81,28.1,0,34.22,3257.51,76.4,15.4
"Healthtech","Series A","Norte América","B2B","Sí",5,68,3,2,26,4.1,2.35,152.95,33.4,16.51,324.32,2600.87,63.5,24
"Edtech","Series B","Asia","B2B","Sí",7,159,4,5,6,57.73,7.19,764.43,13.6,5.74,118.5,5665.67,73.2,-42.5
"Healthtech","Series A","LATAM","B2C","Sí",6,92,3,4,23,14.42,3.11,165.82,20.1,0,62.19,1221.03,38.7,56.6
"E-commerce","Series C+","Norte América","B2B","Sí",14,527,6,10,10,288.73,21.47,5000,13.2,11.72,295.64,6943.89,68,47.6
"Edtech","Series C+","Norte América","B2B","Sí",12,298,5,10,7,272.36,5.78,4618.21,5,2.28,79.56,2479.96,66.3,38.1
