"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Edtech","Series A","Norte América","B2C","Sí",5,81,3,3,7,12.01,2.64,142.45,24.2,5.97,5,1151.96,26.2,0
"Fintech","Series B","LATAM","B2B2C","Sí",4,79,4,3,5,34.32,3.04,339.35,25,0,232.67,1943.61,59.9,10.9
"Edtech","Series B","Norte América","B2B","Sí",10,195,4,4,6,60.44,4.38,657.75,14,2.34,250.18,6219.27,70.2,-3.4
"Fintech","Series A","Norte América","B2C","No",4,79,2,4,4,9.05,4.58,107.75,5,0,95.74,2364.01,63.2,17.9
"Healthtech","Series A","Europa","B2B","No",11,201,3,6,26,28.33,6.13,308.51,14.2,0,5,4920.5,92.9,22.3
"Healthtech","Series C+","Norte América","B2C","No",6,110,4,4,14,82.14,0,1536.41,6.7,0,142.91,1531.08,55.6,-0.6
"Edtech","Seed","Norte América","B2B","No",5,65,2,3,5,1.88,3.48,47.48,20.7,5.8,145.17,5379.17,90.6,52.1
"E-commerce","Series A","Europa","B2C","No",4,56,2,4,6,22.41,0,200.44,12.8,0,9.46,1328.75,54.9,14.8
"Fintech","Series B","LATAM","B2C","Sí",14,278,3,8,9,91.05,14.2,1008.85,11.3,0,101.05,3502.2,48.5,19.8
"E-commerce","Series A","Europa","B2C","No",8,88,3,4,8,25.78,3.52,242.56,31.7,5.73,71.77,1031.52,41.2,-22.5
"Fintech","Series B","Norte América","B2B","Sí",6,84,3,3,6,28.1,8.24,403.68,13.8,10.77,52.23,5596.22,80.8,-10.5
"SaaS","Series A","Norte América","B2B","No",9,57,2,4,23,10.55,1.36,165.96,16,18.68,5,3645.26,65.4,20.8
"Edtech","Series A","Europa","B2C","Sí",3,20,2,1,4,12.04,0,57.38,14,12.61,64.27,763.29,48,-18.1
"E-commerce","Series A","LATAM","B2C","Sí",5,57,3,3,4,13.44,4.71,118.43,12.3,0,18.27,2162.03,49.6,40.1
"Fintech","Seed","Asia","B2C","No",10,101,1,4,8,0.1,5.65,96.41,9.7,37.25,69.05,1449.77,51.1,-23.9
"Fintech","Series C+","Asia","B2C","Sí",1,73,7,1,3,2.89,1.09,294.95,13.2,11.74,38.91,66.78,45.1,8.7
"Edtech","Series B","Norte América","B2C","Sí",15,308,3,8,13,75.96,5.95,939.38,12.5,7.87,87.86,1071.56,64.3,26.7
"E-commerce","Series A","LATAM","B2B","No",8,68,3,4,12,19.52,5.88,170.04,29.4,0,63.94,4028.79,82.9,10.5
"Fintech","Series B","Norte América","B2C","No",12,237,4,4,10,45.97,9.98,595.12,17.7,13.85,16.16,624.49,60.7,7.2
"E-commerce","Series C+","Asia","B2C","Sí",8,321,7,6,10,235.24,9.89,4069.73,27,8.66,21.88,1708.66,66.3,14.8
"E-commerce","Series B","Norte América","B2C","Sí",9,173,3,5,7,70.42,7.84,812.32,7.6,0.05,68.92,1245.03,29.5,35.5
"Fintech","Series A","Europa","B2C","No",13,109,2,6,12,9.53,6.3,166.17,21.8,14.17,24.43,1821.79,52.8,30.2
"E-commerce","Seed","Norte América","B2C","Sí",11,66,1,4,12,12.56,7.3,147.71,32.5,0,50.89,2059.25,34.5,25.7
"Fintech","Series B","Asia","B2C","No",7,159,4,5,4,54.2,12.24,800.3,5,20.59,52.76,2553.78,35.8,-22.1
"Healthtech","Series A","LATAM","B2C","No",2,35,3,1,20,0.1,0.42,136.29,23,29.15,104.72,1025.13,49.9,28.3
"Fintech","Series A","Europa","B2B","Sí",10,147,2,4,12,20.54,9.47,223.78,25.9,3.2,216.74,4685.23,68.6,1
"E-commerce","Series A","Norte América","B2B2C","Sí",12,147,2,7,8,21,9.67,262.75,16.6,27.8,172.62,4230,60.9,22.9
"Fintech","Series C+","Europa","B2B2C","Sí",7,178,7,4,8,108.03,12.93,2085.23,16.8,13.72,159.36,3629.55,30.7,56.8
"Edtech","Seed","Norte América","B2B2C","Sí",9,80,2,4,5,0.1,1.74,101.89,7.3,47.25,179.02,1729,58.1,-21.8
"Edtech","Series C+","Norte América","B2C","No",10,267,6,6,7,188.18,4.05,3324.31,13.8,16.07,5,2761.11,85.9,2.9
"E-commerce","Series A","LATAM","B2B","Sí",10,114,2,3,11,6.89,8.33,145.94,14.4,0,5,2605.53,62.1,5.5
"Edtech","Seed","Norte América","B2B","No",12,46,2,5,7,6.45,1.19,48.82,6.8,9.13,153.42,2544.4,65.7,9.2
"E-commerce","Series A","Europa","B2C","No",3,22,3,2,5,9.73,0,168.35,15.9,22.69,49.36,959.95,40.7,65.3
"Fintech","Series C+","Norte América","B2B","Sí",5,226,4,2,7,107.56,6.79,1980.8,19.9,0,246.89,6536.88,84.9,4.2
"E-commerce","Series B","Norte América","B2B2C","No",14,263,3,9,6,108.28,13.84,1189.68,5,7.89,166.29,3249.05,39.1,8.4
"E-commerce","Series B","Norte América","B2B","Sí",4,67,3,3,7,13.4,0.36,180.85,21.3,8.11,5,4300.67,95,36.9
"Fintech","Series A","Asia","B2C","No",11,163,3,3,5,25.99,12.52,245.24,7.2,2.9,5,4149.38,86.4,20.6
"E-commerce","Seed","Norte América","B2B2C","Sí",12,104,1,5,11,2.91,7.51,111.12,23,13.45,5,1781.28,68.3,-24.9
"Fintech","Seed","Norte América","B2C","Sí",6,92,2,5,1,6.97,6.7,105.21,5,11.91,18.18,866.36,60.2,-5.5
"SaaS","Seed","Europa","B2C","No",7,52,2,4,10,16.27,1.58,121.15,5,5.93,32.84,985.51,94.9,64.7
"Fintech","Series A","LATAM","B2C","Sí",11,131,2,4,8,12.9,7.99,226.58,6.9,17.34,45.18,698.9,37.1,8.9
"Healthtech","Series A","LATAM","B2B","No",5,59,2,4,29,10.4,3.06,165.54,29.3,0,178.81,2029.26,91,-7
"Fintech","Seed","LATAM","B2B","No",11,74,1,3,7,0.1,8.14,28.65,6.4,9.66,243.11,4720.11,69.9,30.4
"E-commerce","Seed","Norte América","B2C","No",12,77,2,6,10,0.1,5.5,10.49,23.6,0,12.05,1003.13,39.7,3.4
"E-commerce","Series C+","Europa","B2B2C","Sí",11,391,6,8,9,236.57,10.85,4184.41,13.2,0,90.98,4420.97,79.8,19.3
"Healthtech","Seed","Asia","B2B","Sí",7,52,2,3,17,0.1,2.54,70.12,11.1,9.71,226.57,5816.83,84.8,-8.9
"Healthtech","Series C+","Norte América","B2B","Sí",6,217,4,4,29,137.78,4.19,2689.77,20.5,10.34,354.39,4567.44,84.4,0
