CustomerID,Age,Gender,Region,CustomerSince_days,MembershipLevel,AcquisitionSource,DeviceType,TimeOnSite_min,PagesViewed,LastLogin_days,NumPurchases_lifetime,CustomerSupportInteractions,ReturnedItems_last_purchase,ItemsInCart,UsedDiscount,ShippingType,TotalPurchase_USD,AvgItemValue_USD
1001,37,Masculino,Oeste,736,Plata,Busqueda Organica,Desktop,15.6,15,17,3,0,1,2,No,Express,118.31,59.16
1002,44,Masculino,Sur,1137,Oro,Busqueda Organica,Movil,7.1,6,13,7,0,0,3,No,Estandar,135.23,45.08
1003,30,Femenino,Este,621,Plata,Busqueda Organica,Desktop,13.1,12,23,2,1,0,3,No,Express,119.48,39.83
1004,32,Femenino,Este,782,Plata,Anuncio Pago,Movil,7.9,10,7,3,1,0,4,No,Estandar,181.92,45.48
1005,44,Femenino,Norte,615,Plata,Redes Sociales,Desktop,17,13,15,3,0,0,3,No,Express,128.9,42.97
1006,35,Masculino,Norte,683,Plata,Anuncio Pago,Movil,4.9,6,32,4,0,0,3,Sí,Estandar,68.9,22.97
1007,33,Femenino,Este,1225,Oro,Busqueda Organica,Tablet,8.6,8,21,8,0,0,0,Sí,Express,0,0
1008,34,Masculino,Oeste,334,Bronce,Busqueda Organica,Desktop,11.9,10,15,1,2,0,1,Sí,Dia Siguiente,72.02,72.02
1009,39,Femenino,Este,704,Oro,Anuncio Pago,Tablet,6.5,6,6,8,1,0,2,Sí,Estandar,131.55,65.78
1010,18,Femenino,Este,780,Plata,Busqueda Organica,Movil,14.1,9,6,3,0,0,2,Sí,Dia Siguiente,33.99,17
1011,50,Masculino,Sur,794,Oro,Redes Sociales,Desktop,13.3,13,38,9,0,0,5,Sí,Estandar,174.81,34.96
1012,34,Masculino,Oeste,1193,Oro,Anuncio Pago,Movil,10.4,8,22,8,0,0,1,Sí,Dia Siguiente,92.89,92.89
1013,47,Femenino,Sur,1010,Oro,Email,Movil,3.3,6,15,7,0,0,3,Sí,Estandar,98.53,32.84
1014,55,Masculino,Norte,152,Bronce,Busqueda Organica,Desktop,22.5,18,19,1,1,0,1,No,Estandar,136.8,136.8
1015,18,Femenino,Oeste,807,Plata,Anuncio Pago,Movil,22.4,17,6,4,1,0,3,No,Estandar,131.03,43.68
1016,31,Masculino,Oeste,284,Plata,Anuncio Pago,Tablet,28.1,15,10,3,0,0,8,No,Estandar,166.26,20.78
1017,22,Femenino,Este,156,Bronce,Email,Movil,7.7,6,2,1,0,0,4,No,Estandar,131.06,32.76
1018,37,Femenino,Este,297,Bronce,Busqueda Organica,Tablet,5.1,5,15,1,1,0,5,Sí,Estandar,127.46,25.49
1019,33,Femenino,Norte,867,Oro,Busqueda Organica,Desktop,16,12,10,5,1,0,4,No,Estandar,197.77,49.44
1020,56,Femenino,Sur,1383,Oro,Busqueda Organica,Movil,23.1,15,5,5,1,1,4,Sí,Express,122.83,30.71
1021,31,Femenino,Norte,1265,Oro,Email,Desktop,25.3,16,27,7,1,0,3,Sí,Estandar,137.7,45.9
1022,57,Masculino,Este,1454,Platino,Busqueda Organica,Movil,13.5,9,1,12,2,0,4,Sí,Estandar,145.09,36.27
1023,38,Masculino,Norte,1170,Platino,Busqueda Organica,Tablet,7,5,42,13,0,0,6,Sí,Express,196.47,32.74
1024,43,Femenino,Sur,1066,Oro,Busqueda Organica,Tablet,9.4,6,51,9,1,0,6,Sí,Estandar,144.63,24.1
1025,35,Femenino,Sur,1296,Oro,Busqueda Organica,Desktop,12,11,15,6,0,0,5,No,Estandar,148.27,29.65
1026,27,Femenino,Norte,1058,Oro,Redes Sociales,Desktop,15,17,23,7,1,0,3,Sí,Estandar,123.98,41.33
1027,41,Masculino,Norte,510,Plata,Busqueda Organica,Tablet,5.1,6,9,4,0,0,4,No,Express,52.06,13.02
1028,53,Masculino,Norte,946,Oro,Anuncio Pago,Movil,9.5,9,26,7,1,0,1,Sí,Express,126.84,126.84
1029,54,Masculino,Norte,822,Plata,Anuncio Pago,Movil,10.7,10,16,4,0,0,4,Sí,Estandar,97.2,24.3
1030,22,Femenino,Oeste,796,Oro,Redes Sociales,Tablet,10.2,8,29,5,1,1,3,No,Estandar,145.69,48.56
1031,48,Femenino,Sur,110,Plata,Anuncio Pago,Desktop,22.1,12,16,3,2,0,2,No,Express,135.65,67.83
1032,44,Masculino,Oeste,990,Oro,Busqueda Organica,Movil,7.4,7,21,10,0,0,5,No,Estandar,140.93,28.19
1033,49,Femenino,Norte,1402,Oro,Busqueda Organica,Desktop,6.5,9,15,6,0,0,6,No,Estandar,261.32,43.55
1034,36,Femenino,Sur,333,Plata,Email,Movil,7.1,5,31,3,0,0,5,Sí,Dia Siguiente,89.51,17.9
1035,54,Masculino,Norte,1441,Oro,Redes Sociales,Movil,14.1,13,15,11,0,1,1,No,Express,121.33,121.33
1036,34,Masculino,Sur,1247,Oro,Busqueda Organica,Movil,10.8,9,15,7,0,0,5,No,Express,224.24,44.85
1037,40,Femenino,Sur,435,Plata,Busqueda Organica,Movil,13.3,9,3,5,1,0,2,Sí,Express,107.21,53.6
1038,28,Femenino,Norte,690,Oro,Anuncio Pago,Movil,11.2,7,37,6,0,0,8,No,Estandar,222.23,27.78
1039,37,Femenino,Oeste,432,Plata,Email,Tablet,14.1,10,30,2,2,0,5,No,Estandar,183.05,36.61
1040,25,Femenino,Norte,548,Plata,Busqueda Organica,Movil,20,12,15,3,1,0,6,No,Express,176.04,29.34
1041,21,Femenino,Oeste,377,Plata,Anuncio Pago,Movil,8.5,6,16,2,1,1,1,No,Estandar,52.26,52.26
1042,53,Femenino,Norte,687,Plata,Redes Sociales,Movil,12.3,9,16,1,0,1,3,Sí,Estandar,99.56,33.19
1043,43,Masculino,Oeste,762,Plata,Anuncio Pago,Desktop,13,12,57,3,0,0,3,Sí,Estandar,145.86,48.62
1044,48,Masculino,Este,568,Plata,Busqueda Organica,Tablet,12.7,10,32,4,0,0,4,Sí,Estandar,111.03,27.76
1045,53,Femenino,Este,872,Oro,Redes Sociales,Desktop,15,13,13,6,2,1,2,No,Estandar,109.46,54.73
1046,31,Masculino,Este,1082,Oro,Busqueda Organica,Movil,9.9,10,4,7,0,0,6,No,Estandar,211.66,35.28
1047,53,Masculino,Sur,656,Plata,Redes Sociales,Desktop,6.3,7,4,5,2,1,3,No,Estandar,148.29,49.43
