"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Fintech","Series B","Asia","B2B","No",9,215,4,6,7,59.7,9.28,709.5,6.8,0,114.22,4495.37,52.8,22
"Fintech","Seed","LATAM","B2C","No",13,115,2,8,7,0.94,7.76,60.04,10.7,6.71,73.21,2038.26,68.1,16.3
"Edtech","Series B","Asia","B2B","No",5,129,3,4,8,8.61,0.16,252.01,12.4,13.8,240.59,2416.72,81.5,1.3
"Healthtech","Series B","Asia","B2C","No",4,85,4,3,27,33.55,2.42,478.04,23,10.75,23.01,1219.35,54.1,13.5
"SaaS","Series A","LATAM","B2B","Sí",12,158,3,4,24,9.46,14,219.01,16.4,14.49,81.48,7384.36,63,-21.3
"Fintech","Series A","Europa","B2B2C","No",11,144,2,4,9,22.54,10.58,220.52,5,0,97.4,4427.88,50.1,12.4
"Healthtech","Series A","Norte América","B2C","Sí",12,174,3,5,32,18.69,4.92,276.32,23.5,19.57,122.28,1928.19,58.4,-3.9
"Fintech","Series B","Asia","B2B","Sí",13,257,3,5,12,56.77,15.15,770.22,23.7,3.68,253.88,4670.34,61.7,92
"Edtech","Seed","Asia","B2C","No",7,66,1,3,8,13.48,0.45,173.36,20.2,50,100.22,588.41,39.8,29.7
"Edtech","Series A","Norte América","B2B","Sí",7,105,2,4,11,29.98,3.28,256.58,19.3,3.78,48.68,3497.89,53.1,39.2
"Fintech","Series A","Europa","B2B2C","Sí",13,152,3,4,15,19.48,8.77,272.31,27,12.19,188.62,4031.36,69.2,20.4
"Fintech","Series B","Asia","B2B","No",3,80,4,2,5,25.97,2.69,353.15,20.2,0,303.14,3359.53,71.2,34.6
"Healthtech","Series C+","Norte América","B2B2C","No",7,285,7,7,32,145.8,5.65,2817.3,23.2,0,148.03,804.88,36.3,17
"Edtech","Series B","Asia","B2B2C","Sí",10,287,3,4,12,70.45,5.6,856.8,8.7,15.32,152.01,2413.4,49.7,44.9
"Edtech","Series A","Europa","B2C","Sí",14,164,2,4,9,13.54,4.95,217.63,19.8,23,79,1286.51,63.9,38.4
"Healthtech","Seed","Norte América","B2B","Sí",2,18,1,2,18,8.38,0,101.19,23.5,12.46,131.45,3563.8,77.8,-25
"E-commerce","Seed","Norte América","B2C","Sí",2,12,2,2,1,0.1,1.48,38.96,5,26.48,70.72,1346.79,63,21.4
"Fintech","Series B","Asia","B2C","Sí",4,61,4,3,9,34.95,3.37,433.47,30.8,3.63,91.99,1780.35,64.2,20.2
"Fintech","Seed","Norte América","B2C","Sí",12,125,2,3,10,7.18,4.67,98.25,7.7,27.02,75.75,1709.89,48.1,20.6
"SaaS","Series A","Norte América","B2B","Sí",8,110,2,3,23,16.73,6.97,238.83,33,0,25.57,4733.32,58.4,23.8
"Healthtech","Seed","Norte América","B2B","Sí",5,57,1,3,17,0.1,4.25,62.19,5,9.9,241.4,3741.64,73.6,2.6
"E-commerce","Series C+","Norte América","B2B","Sí",14,455,5,10,8,221.44,21.25,4168.97,7.1,2.58,179.44,7888.04,95,17.6
"E-commerce","Series C+","LATAM","B2B","Sí",5,196,4,2,9,42.85,8.3,987.13,11.1,0,21.1,5351.23,78.1,0.3
"Fintech","Series B","Europa","B2C","Sí",2,47,4,2,5,22.36,2.75,312.47,26,9.79,54.58,1003.46,71.3,16
"Fintech","Seed","Norte América","B2C","No",11,95,2,2,14,1.09,7.96,132.81,33.4,28.46,63.34,1570.27,65.7,-2.8
"SaaS","Series B","LATAM","B2B2C","Sí",12,197,4,6,24,49.87,11.61,759.4,31.2,19.28,27.28,3709.71,79.1,17.4
"Healthtech","Series B","Europa","B2B","No",11,252,3,5,37,59.53,6.58,835.06,23.6,0,241.18,4409.43,61.3,-18
"Healthtech","Series A","Norte América","B2B","Sí",11,164,3,6,29,13.56,4.96,210.86,14.7,12.74,199.82,4561.91,90.7,13
"E-commerce","Series C+","Norte América","B2B","Sí",2,119,5,4,2,71.22,4.85,1299.48,5,6.75,143.13,2485.53,74.5,-14.9
"E-commerce","Series B","Europa","B2B","Sí",2,68,4,3,4,37.67,1.58,430.19,22.4,7.01,23.83,3840.79,80.4,8.2
"Fintech","Series A","Norte América","B2B","Sí",11,132,2,5,9,19.27,10.49,239.26,12.3,0,5,4978.03,56,76.2
"Fintech","Series B","Europa","B2B2C","Sí",3,73,3,3,6,57.75,2.95,647.76,21.6,0.09,5,1367.95,33,37.4
"E-commerce","Seed","Norte América","B2B","Sí",14,93,2,5,14,9.46,9.93,103.46,24.2,3.26,350.8,5670.74,78.6,9.7
"Fintech","Seed","Asia","B2C","No",1,36,2,3,1,0.1,0.34,38.18,12.1,15.46,47.36,50,16.2,15.3
"SaaS","Seed","Norte América","B2B","Sí",12,104,1,6,24,12.02,5.49,128.57,23.1,3.02,344.33,4207.62,67.7,76.1
"Fintech","Series A","Europa","B2B","Sí",6,60,3,3,3,18.23,5.21,165.2,5,17,128.54,3897.7,60,41.1
"Healthtech","Series A","Norte América","B2B","Sí",14,180,3,5,49,18.24,6.61,285.64,33.3,0,212.06,6096.72,65,7.6
"E-commerce","Seed","Norte América","B2C","No",14,121,1,5,6,10.67,8.53,103.34,5.1,3.47,16.62,1388.09,45.3,68.1
"E-commerce","Series A","LATAM","B2B2C","No",2,34,3,1,2,14.77,6.21,89.32,15.5,0,5,1809.08,41.7,12
"Fintech","Series C+","Europa","B2B","No",8,328,4,9,9,280.45,11.07,4762.6,24,0,337.2,5658.4,87.2,3.3
"E-commerce","Series C+","LATAM","B2B2C","No",14,416,7,13,10,359.69,16.09,5000,9.2,6.07,141.35,5854.9,65.6,-0.5
"Fintech","Series B","LATAM","B2B2C","No",2,2,4,1,5,44.55,0,449.65,18.8,5.53,233.74,50,19.5,28.9
"Fintech","Series B","Norte América","B2C","Sí",2,8,4,4,4,0.1,0,93.87,14.6,1.67,16.2,899.96,43.5,31.8
"Fintech","Series B","Norte América","B2B","Sí",6,143,3,3,7,56.59,9.37,653.48,15.3,5.01,5,4436.23,68.6,-12.8
"Healthtech","Seed","Norte América","B2B","Sí",14,147,1,4,24,0.1,8.78,142.42,16.1,13.23,118.83,5507.27,60.4,21.9
"Healthtech","Series B","LATAM","B2C","No",6,151,3,4,23,37.79,4.55,479.45,19.6,0,30.52,1122.21,63.1,38.8
"Edtech","Seed","LATAM","B2B","No",13,104,1,3,14,6.24,5.86,130.7,29.6,13.4,132.3,5124.01,77.1,-19.5
"E-commerce","Seed","Europa","B2C","Sí",6,26,2,2,7,0.1,2.96,72.59,5,12.02,74.32,82.78,52.3,2.7
"SaaS","Seed","Europa","B2B","Sí",5,75,1,2,9,3.99,4.25,16.07,5,0,251.82,2488.08,52.5,25.3
"SaaS","Series B","Europa","B2B","No",10,173,4,7,16,65.08,8.71,795.22,5,10.53,141.85,3376.46,46.5,10.9
"Fintech","Series C+","Norte América","B2C","Sí",6,325,5,7,4,128.26,13.02,2437.41,12.4,0,32.77,1197.5,52.5,20.5
"Edtech","Series B","Europa","B2B","Sí",2,60,3,3,3,0.1,0.56,155.1,7,6.53,152.65,2346.73,65.4,-50
"E-commerce","Series C+","Europa","B2C","Sí",1,37,7,3,1,67.49,0.21,1085.56,6.7,16.41,62.97,1503.21,59.5,9.3
"Edtech","Series B","Asia","B2B2C","Sí",3,16,3,1,6,24.07,1.2,297.87,17.7,8.04,10.97,2547.51,51,17
"SaaS","Series C+","LATAM","B2B","No",11,383,7,10,22,301.94,11.07,5000,30.4,3.7,101.85,4889.76,79.8,8.7
"SaaS","Series A","LATAM","B2B","Sí",14,199,2,7,29,16.83,10,310.26,30.1,1.62,5,7306.58,80.4,-10.8
"Edtech","Seed","Asia","B2B","No",8,78,1,4,6,10.94,2.61,127.46,16,24.27,109.23,5569.29,78.4,85.8
"Healthtech","Series B","LATAM","B2C","No",13,278,4,8,35,104.75,9.6,1206.16,24.6,1.1,134.06,2453.16,64.6,6.8
"SaaS","Series B","Norte América","B2C","No",3,39,3,3,14,12.48,4.28,275.4,21.5,13.59,5,1240.4,55.9,42.9
"Healthtech","Series B","LATAM","B2B","Sí",9,194,4,4,27,28.07,4.49,505.37,18.6,10.82,19.63,4447.26,42.2,23.5
"SaaS","Seed","Europa","B2B","Sí",3,35,2,1,19,0.1,2.35,69.13,24.3,16.79,209.81,2539.23,95,46.4
"SaaS","Seed","Norte América","B2C","Sí",2,25,1,2,11,7,0,47.31,16.6,5.23,60.28,1734.76,95,3.3
"Healthtech","Seed","Europa","B2B","Sí",4,23,2,1,15,4.88,1.8,117.48,19.5,29.69,151.46,2788.67,91.1,-24.6
"E-commerce","Series B","Norte América","B2B","No",13,194,3,5,15,52.08,14.59,739.27,15.7,7.95,115.52,4830.57,35.4,20.4
"E-commerce","Series B","LATAM","B2B2C","Sí",14,269,3,7,13,96.25,13.25,1124.02,27.4,0,137.38,5442.4,49.6,13.5
"Fintech","Series B","Norte América","B2B","No",13,260,3,7,12,70.07,12.27,922.51,13,12.84,59.81,5106.64,63.4,62.1
"SaaS","Series A","Europa","B2C","No",6,100,2,6,20,24,5.91,303.06,25.6,27.35,62.4,1463.95,72.9,-9
"E-commerce","Series A","Norte América","B2C","Sí",10,96,2,4,13,30.15,4.98,270.81,18.5,0,86.7,1257.28,69.2,36.3
"E-commerce","Seed","Europa","B2C","No",3,2,2,3,3,1.86,0,76.42,17.4,36.98,53.37,609.21,47.8,-37.7
"E-commerce","Series B","Europa","B2B","No",12,139,3,5,10,46.41,5.67,556.51,16.3,0.12,193.89,3992.84,72.6,-28.4
"E-commerce","Series A","Norte América","B2B2C","Sí",5,35,2,2,10,16.87,4.66,221.91,36.7,16.63,141.88,1276.4,71.6,13.7
"SaaS","Series A","Norte América","B2B","Sí",12,150,3,5,32,24.81,12.45,303.76,41.9,0,299.76,4622.21,53.1,37.1
"Healthtech","Series A","Europa","B2C","No",5,112,2,3,25,11.8,5.56,237.29,38.2,9.28,22.1,485.83,35.2,-28.6
"Fintech","Series B","Norte América","B2B","Sí",9,152,3,4,9,60.1,7.82,753.57,17,3.94,121.42,4273.87,68.9,92.2
"Healthtech","Seed","Norte América","B2C","Sí",14,115,1,6,30,13.86,4.51,204.78,7,25.33,67.92,1212.43,39.9,50.2
"E-commerce","Seed","Europa","B2B2C","Sí",14,63,1,4,9,7.61,6.93,95.06,14.4,0,93.84,1327.11,59.7,22.6
"SaaS","Series B","Europa","B2C","Sí",11,217,4,6,21,78.73,9.77,958.61,9.7,8.14,40.19,2239.39,84.2,12.3
"SaaS","Series B","Europa","B2C","Sí",5,97,4,3,8,49.86,3.01,589.65,14.7,2.79,51.12,1434.1,49.2,50.8
"Fintech","Series A","LATAM","B2B2C","Sí",12,157,2,4,10,15.09,6.72,106.23,5.8,0,199.74,2667.45,58.7,-3.9
