"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
26,"Masculino","Bogotá",3,"Universitario","Casado","Independiente","Remoto","No",0,6514620,451587,14,41730,"Saludable","Cena","Fin de Semana",50,"Sí",20,4.1,47,0.5,"Tarjeta Crédito","Smartphone",0,8,44,9.2,17
38,"Femenino","Bogotá",3,"Técnico","Soltero","Empleado","Presencial","No",0,4506707,788694,13,57497,"Italiana","Almuerzo","Entre Semana",4,"No",55,4.4,52,2.9,"Tarjeta Crédito","Tablet",0,2,3,11.4,8
22,"Masculino","Bogotá",4,"Universitario","Soltero","Estudiante","No Aplica","No",0,2428324,160598,4,36136,"Comida Rápida","Cena","Entre Semana",10,"No",42,4.4,52,2.3,"Tarjeta Crédito","Smartphone",0,2,27,5.8,28
18,"Masculino","Cali",3,"Universitario","Soltero","Estudiante","No Aplica","No",0,1466346,157627,4,40384,"Saludable","Almuerzo","Entre Semana",33,"No",65,4.9,30,5.2,"Tarjeta Crédito","Computador",0,1,32,7.4,19
21,"Femenino","Bogotá",2,"Técnico","Soltero","Independiente","Híbrido","No",0,2495681,212833,7,28841,"Comida Rápida","Cena","Fin de Semana",22,"No",64,4.1,27,1.5,"Efectivo","Computador",0,3,38,4.6,22
37,"Masculino","Bogotá",2,"Universitario","Casado","Empleado","Presencial","Sí",3,4187284,1204769,14,85883,"Asiática","Cena","Fin de Semana",28,"No",96,4.1,47,4.3,"Débito","Smartphone",0,2,85,6,0
41,"Femenino","Bogotá",6,"Secundaria","Soltero","Independiente","Remoto","No",0,14256138,1362712,21,59533,"Saludable","Almuerzo","Fin de Semana",25,"No",37,3.9,61,2.4,"Débito","Computador",2,12,0,10,6
44,"Masculino","Cartagena",4,"Técnico","Soltero","Empleado","Híbrido","Sí",1,8303392,2054346,36,73795,"Saludable","Almuerzo","Fin de Semana",40,"Sí",21,4.3,58,2.1,"Débito","Computador",1,16,79,8.3,7
18,"Femenino","Cali",5,"Secundaria","Soltero","Estudiante","No Aplica","No",0,1721775,168846,5,40481,"Comida Rápida","Almuerzo","Entre Semana",9,"Sí",65,4.5,58,2.5,"Tarjeta Crédito","Smartphone",0,1,30,8.2,27
42,"Masculino","Barranquilla",3,"Posgrado","Unión Libre","Empleado","Híbrido","No",0,10897656,1251728,30,48688,"Italiana","Cena","Entre Semana",23,"Sí",31,4.8,37,10.6,"Efectivo","Smartphone",1,12,57,8.4,4
18,"Masculino","Bogotá",4,"Técnico","Soltero","Desempleado","No Aplica","No",0,867398,174031,3,52204,"Saludable","Cena","Entre Semana",31,"No",33,3.3,52,5.8,"Débito","Computador",0,1,20,6.6,16
37,"Femenino","Cali",3,"Secundaria","Soltero","Independiente","Presencial","No",0,4387762,243433,9,31329,"Comida Rápida","Cena","Entre Semana",40,"No",47,3.4,50,8.6,"Efectivo","Smartphone",1,4,21,9.7,9
27,"Masculino","Medellín",4,"Posgrado","Unión Libre","Empleado","Presencial","Sí",2,14437808,2564834,46,62052,"Comida Rápida","Almuerzo","Fin de Semana",32,"Sí",41,4.6,42,1.5,"Efectivo","Smartphone",1,18,56,11,15
19,"Femenino","Cartagena",2,"Técnico","Unión Libre","Estudiante","No Aplica","No",0,8e+05,78344,2,34415,"Comida Rápida","Snack","Entre Semana",25,"No",83,4.4,37,4,"Efectivo","Smartphone",0,1,31,7.6,28
26,"Femenino","Barranquilla",2,"Secundaria","Casado","Empleado","Presencial","Sí",1,1618777,443293,6,74676,"Asiática","Cena","Entre Semana",42,"No",100,4.1,33,11.2,"Débito","Smartphone",0,1,94,5.5,19
35,"Masculino","Cartagena",5,"Posgrado","Casado","Empleado","Híbrido","Sí",2,17291638,1491228,18,78822,"Comida Rápida","Cena","Fin de Semana",32,"No",24,5,33,1.2,"Tarjeta Crédito","Smartphone",1,10,55,8.7,7
27,"Masculino","Cali",4,"Universitario","Casado","Empleado","Presencial","No",0,7808556,634755,14,49850,"Local","Almuerzo","Entre Semana",31,"No",51,3.4,49,1.3,"Tarjeta Crédito","Smartphone",2,8,49,7.9,21
18,"Femenino","Cali",2,"Universitario","Soltero","Empleado","Presencial","No",0,2195931,295517,10,31505,"Comida Rápida","Cena","Entre Semana",19,"No",68,3.7,43,2,"Efectivo","Smartphone",1,3,0,2.9,17
30,"Masculino","Medellín",1,"Técnico","Unión Libre","Independiente","Remoto","No",0,1355091,154543,4,35313,"Local","Cena","Entre Semana",4,"No",55,4,50,1.3,"Débito","Smartphone",0,4,45,5.3,18
24,"Femenino","Medellín",2,"Universitario","Soltero","Estudiante","No Aplica","No",0,970203,191469,4,51017,"Italiana","Cena","Entre Semana",3,"Sí",23,5,55,5.2,"Tarjeta Crédito","Computador",0,2,33,4.7,31
29,"Femenino","Barranquilla",2,"Universitario","Casado","Empleado","Presencial","No",0,2832354,228172,8,32012,"Comida Rápida","Almuerzo","Entre Semana",35,"No",50,4.1,46,8.3,"Efectivo","Smartphone",0,9,71,3.2,11
53,"Masculino","Cali",4,"Técnico","Casado","Empleado","Híbrido","Sí",3,6683476,1347422,14,86792,"Comida Rápida","Almuerzo","Fin de Semana",33,"No",64,3.2,39,3.8,"Tarjeta Crédito","Smartphone",2,10,77,5.1,10
18,"Masculino","Bogotá",3,"Universitario","Unión Libre","Empleado","Remoto","No",0,4963597,697777,19,34700,"Comida Rápida","Snack","Entre Semana",29,"No",26,4,47,8.7,"Débito","Tablet",1,10,59,0.9,4
31,"Femenino","Bogotá",2,"Universitario","Unión Libre","Empleado","Híbrido","Sí",2,3366510,820414,11,86127,"Asiática","Almuerzo","Fin de Semana",26,"No",89,4.5,70,15,"PSE","Smartphone",0,1,72,6.5,9
21,"Femenino","Medellín",2,"Secundaria","Soltero","Empleado","Híbrido","No",0,1685814,188767,5,35513,"Saludable","Almuerzo","Entre Semana",29,"No",82,3.5,50,2.7,"Efectivo","Computador",0,5,34,5.9,18
18,"Femenino","Cartagena",2,"Universitario","Soltero","Estudiante","No Aplica","No",0,868183,56230,2,30782,"Comida Rápida","Cena","Fin de Semana",46,"No",49,5,41,4.4,"Débito","Smartphone",0,2,33,5.4,21
26,"Masculino","Cali",2,"Universitario","Soltero","Empleado","Presencial","No",0,2980769,409349,10,37067,"Comida Rápida","Almuerzo","Entre Semana",15,"No",59,4.2,41,2.8,"Débito","Smartphone",0,7,50,8,19
19,"Masculino","Medellín",4,"Universitario","Soltero","Independiente","Remoto","No",0,7198734,580160,18,32161,"Comida Rápida","Almuerzo","Fin de Semana",20,"No",57,4.9,57,1.2,"Efectivo","Smartphone",1,8,27,8.7,17
25,"Masculino","Medellín",2,"Universitario","Soltero","Empleado","Híbrido","Sí",1,2969504,324511,8,46025,"Comida Rápida","Almuerzo","Fin de Semana",48,"No",92,4.5,40,2,"Efectivo","Smartphone",0,5,89,8.4,16
40,"Masculino","Bogotá",3,"Técnico","Divorciado","Empleado","Remoto","No",0,3866073,360712,11,38455,"Comida Rápida","Almuerzo","Fin de Semana",49,"No",48,4.5,59,2.8,"Efectivo","Tablet",0,5,0,6.2,0
35,"Femenino","Cartagena",3,"Universitario","Casado","Empleado","Híbrido","No",0,5630270,899443,23,41059,"Local","Cena","Fin de Semana",42,"Sí",24,4.7,64,8.6,"Tarjeta Crédito","Smartphone",1,14,37,10.8,5
55,"Masculino","Cartagena",2,"Técnico","Soltero","Independiente","Híbrido","No",0,3242043,315113,10,33656,"Comida Rápida","Almuerzo","Fin de Semana",12,"Sí",65,4.2,34,0.7,"Débito","Computador",0,3,0,6.1,7
25,"Femenino","Bogotá",2,"Universitario","Casado","Estudiante","No Aplica","No",0,8e+05,61609,2,30400,"Comida Rápida","Almuerzo","Fin de Semana",47,"No",67,4.2,55,4.4,"Débito","Smartphone",0,5,78,6,23
19,"Otro","Bogotá",3,"Universitario","Soltero","Estudiante","No Aplica","No",0,1198997,129635,2,60243,"Italiana","Almuerzo","Fin de Semana",55,"No",52,3.6,81,1.3,"Débito","Smartphone",0,3,25,5.7,26
26,"Femenino","Bogotá",3,"Posgrado","Soltero","Empleado","Híbrido","No",0,6260742,619557,20,33664,"Comida Rápida","Cena","Fin de Semana",17,"Sí",46,4.2,59,0.9,"Tarjeta Crédito","Smartphone",1,11,31,8.7,18
18,"Masculino","Barranquilla",5,"Técnico","Soltero","Independiente","Remoto","No",0,7252755,1116070,22,52730,"Saludable","Desayuno","Fin de Semana",23,"Sí",18,4.3,40,0.6,"Tarjeta Crédito","Smartphone",1,9,20,10.7,20
33,"Femenino","Bogotá",4,"Posgrado","Casado","Empleado","Presencial","Sí",1,15471975,2512013,30,91132,"Italiana","Almuerzo","Entre Semana",25,"Sí",21,4.7,59,15,"PSE","Smartphone",1,8,56,6.8,17
31,"Masculino","Cali",3,"Secundaria","Casado","Independiente","Remoto","Sí",1,3170464,1310625,17,88145,"Italiana","Cena","Fin de Semana",21,"No",49,3.5,47,2,"Tarjeta Crédito","Smartphone",1,5,61,8.9,16
20,"Masculino","Cartagena",3,"Universitario","Soltero","Empleado","Híbrido","No",0,4887807,301644,8,34157,"Comida Rápida","Almuerzo","Entre Semana",29,"No",38,4.7,45,2.9,"Efectivo","Smartphone",0,6,18,7.3,9
47,"Masculino","Cali",4,"Posgrado","Unión Libre","Empleado","Remoto","Sí",2,14367730,2184360,35,64869,"Comida Rápida","Snack","Fin de Semana",59,"No",58,4.1,18,4,"PSE","Tablet",1,16,76,8.7,0
24,"Masculino","Cali",2,"Secundaria","Soltero","Independiente","Híbrido","No",0,1876352,164012,5,36179,"Comida Rápida","Cena","Entre Semana",29,"No",70,3.3,51,4.3,"Débito","Smartphone",1,3,11,6.6,4
35,"Femenino","Medellín",3,"Universitario","Unión Libre","Empleado","Presencial","Sí",1,7236535,660973,17,40150,"Comida Rápida","Cena","Fin de Semana",54,"No",42,4.6,57,1.2,"PSE","Smartphone",1,8,67,7.8,1
40,"Masculino","Cartagena",3,"Universitario","Soltero","Empleado","Híbrido","No",0,6236794,729190,14,47026,"Local","Cena","Entre Semana",43,"No",35,4.5,33,2.7,"Débito","Computador",0,9,0,6.6,6
