"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"E-commerce","Series A","LATAM","B2B","Sí",13,121,2,5,11,20.75,8.57,208.49,9.1,14.69,86.39,3900.41,79.5,20.6
"E-commerce","Seed","Norte América","B2C","No",7,42,2,4,7,1.32,5.35,83.76,14.8,28.97,5,2316.35,59,48.2
"SaaS","Series B","LATAM","B2C","Sí",14,272,4,6,26,82.73,12.2,1054.09,18.9,5.41,34.97,2338.21,39.7,49.4
"E-commerce","Seed","Norte América","B2C","Sí",3,33,1,1,4,1.24,0,34.13,13.5,3.32,58.74,664.57,64.7,50
"SaaS","Series B","LATAM","B2B2C","Sí",10,151,4,5,31,57.91,6.19,919.42,42.5,28.08,105.08,3454.21,75.1,5.6
"Edtech","Series C+","Europa","B2B","Sí",6,222,5,4,5,131.48,4.82,2402.33,14.8,12.34,383.04,4130.48,77.8,48.9
"E-commerce","Seed","LATAM","B2B2C","No",11,113,1,5,7,14.69,6.64,143.18,7.6,37.19,226.98,1951.52,65.1,76.2
"Healthtech","Seed","Norte América","B2C","Sí",3,47,1,2,18,0.1,0.02,96.09,27.1,38.79,26.3,806.6,31,18.8
"Healthtech","Series A","Norte América","B2B","Sí",4,35,3,3,17,0.49,3.17,132.23,13.2,3.53,186.05,3345.26,84.4,26
"Healthtech","Series A","LATAM","B2B2C","Sí",14,197,3,6,37,20.22,6.02,381.15,36.5,29.44,94.64,2021.55,51.2,42.8
"E-commerce","Series A","Europa","B2B","No",3,74,3,1,6,8.59,7.83,160.81,5,8.09,81.39,3607.72,59.3,27
"SaaS","Series A","Norte América","B2C","Sí",3,54,2,1,15,0.1,0,113.04,29.3,0,12.71,934.48,57.2,38.5
"Healthtech","Series B","Asia","B2C","No",11,248,4,6,23,59.92,3.6,836.63,5,6.58,53.88,1191.84,46.7,48.9
"E-commerce","Seed","Asia","B2B","No",9,68,1,4,8,0.22,5.26,40.83,6,9.26,130.97,3741.08,42.3,16.8
"Fintech","Series C+","LATAM","B2B","Sí",10,265,4,9,8,165.7,12.94,3106.37,13,3.82,194.19,5243.56,60.9,10.3
"E-commerce","Series B","Norte América","B2C","Sí",7,150,3,4,8,56.2,4.73,550.7,5,0,14.06,1926.69,56.3,53.5
