CustomerID,Age,Gender,Region,CustomerSince_days,MembershipLevel,AcquisitionSource,DeviceType,TimeOnSite_min,PagesViewed,LastLogin_days,NumPurchases_lifetime,CustomerSupportInteractions,ReturnedItems_last_purchase,ItemsInCart,UsedDiscount,ShippingType,TotalPurchase_USD,AvgItemValue_USD
1001,33,Femenino,Oeste,1256,Oro,Anuncio Pago,Desktop,8.3,12,5,5,0,0,3,Sí,Estandar,51.91,17.3
1002,45,Masculino,Norte,116,Plata,Anuncio Pago,Movil,6.6,7,8,3,1,0,6,No,Express,133.85,22.31
1003,56,Femenino,Oeste,1129,Oro,Busqueda Organica,Movil,4.9,7,8,5,0,0,4,Sí,Dia Siguiente,104.19,26.05
1004,36,Masculino,Este,108,Plata,Anuncio Pago,Movil,8.7,8,118,2,0,0,3,No,Estandar,160.86,53.62
1005,19,Masculino,Sur,1252,Oro,Redes Sociales,Desktop,13.6,13,16,7,0,0,2,Sí,Estandar,133.68,66.84
1006,43,Masculino,Oeste,663,Plata,Busqueda Organica,Desktop,10.2,7,32,3,2,0,4,No,Estandar,136.32,34.08
1007,66,Femenino,Sur,1452,Platino,Busqueda Organica,Movil,3.1,4,0,13,3,0,4,Sí,Estandar,104.94,26.24
1008,34,Masculino,Oeste,1077,Oro,Redes Sociales,Movil,10.3,9,13,6,0,0,7,Sí,Estandar,200.37,28.62
1009,45,Masculino,Sur,760,Oro,Redes Sociales,Movil,7.2,6,6,7,0,0,4,Sí,Estandar,104.78,26.2
1010,46,Femenino,Oeste,1315,Oro,Busqueda Organica,Movil,7.3,6,23,7,0,0,4,Sí,Express,133.51,33.38
1011,38,Masculino,Sur,868,Oro,Busqueda Organica,Movil,14.7,11,34,7,1,0,5,Sí,Estandar,141.14,28.23
1012,18,Femenino,Sur,823,Plata,Redes Sociales,Movil,16.1,10,1,2,0,0,9,Sí,Estandar,211.37,23.49
1013,23,Femenino,Norte,874,Oro,Redes Sociales,Tablet,9.2,10,11,10,0,0,2,Sí,Dia Siguiente,141.93,70.97
1014,33,Femenino,Norte,428,Plata,Busqueda Organica,Movil,7.9,6,45,3,1,0,5,No,Estandar,160.25,32.05
1015,25,Femenino,Sur,60,Bronce,Anuncio Pago,Movil,10.6,10,16,1,1,0,5,No,Estandar,134.81,26.96
1016,32,Masculino,Este,1183,Oro,Redes Sociales,Movil,2.4,4,12,6,1,0,3,No,Estandar,150.96,50.32
1017,39,Masculino,Norte,186,Bronce,Anuncio Pago,Movil,4.9,3,20,1,0,0,4,Sí,Estandar,66.51,16.63
1018,34,Femenino,Este,186,Bronce,Redes Sociales,Movil,6.3,5,31,1,1,0,4,No,Estandar,131.15,32.79
1019,19,Masculino,Norte,816,Oro,Redes Sociales,Desktop,13.3,11,11,5,0,0,2,Sí,Estandar,154.11,77.06
1020,33,Femenino,Sur,290,Plata,Busqueda Organica,Movil,10.2,9,34,2,1,0,7,No,Estandar,197.96,28.28
1021,18,Femenino,Oeste,1174,Oro,Busqueda Organica,Tablet,8.4,8,46,7,1,0,2,No,Estandar,57.85,28.92
1022,21,Masculino,Sur,25,Bronce,Anuncio Pago,Movil,9.3,8,5,1,1,0,3,Sí,Express,82.35,27.45
1023,18,Masculino,Oeste,88,Bronce,Busqueda Organica,Tablet,22.4,13,24,1,1,0,6,No,Estandar,220.22,36.7
1024,48,Femenino,Norte,782,Oro,Busqueda Organica,Movil,8.1,10,5,6,0,1,4,Sí,Estandar,165.93,41.48
1025,24,Femenino,Oeste,413,Plata,Redes Sociales,Desktop,7.6,14,20,5,0,0,3,Sí,Estandar,93.84,31.28
1026,37,Masculino,Sur,491,Plata,Redes Sociales,Tablet,3.5,7,33,3,0,1,3,Sí,Estandar,41.41,13.8
1027,18,Masculino,Norte,397,Plata,Email,Desktop,24.9,15,35,4,0,0,7,No,Express,156.64,22.38
1028,60,Femenino,Oeste,1372,Oro,Busqueda Organica,Desktop,15.9,14,13,6,0,1,5,No,Estandar,164.33,32.87
1029,62,Femenino,Sur,1110,Oro,Busqueda Organica,Tablet,14.5,8,28,4,0,0,4,No,Estandar,141.52,35.38
1030,30,Femenino,Oeste,1051,Oro,Anuncio Pago,Desktop,16.9,13,46,8,1,0,3,No,Estandar,136.93,45.64
1031,28,Masculino,Sur,775,Plata,Anuncio Pago,Movil,4,5,31,4,0,0,5,No,Express,128.11,25.62
1032,31,Femenino,Oeste,465,Plata,Email,Movil,16.8,14,14,1,0,0,4,No,Dia Siguiente,107.55,26.89
1033,42,Femenino,Oeste,679,Plata,Email,Movil,10.9,7,3,1,0,0,5,No,Estandar,78.14,15.63
1034,30,Masculino,Este,133,Bronce,Anuncio Pago,Movil,9.3,10,9,1,0,0,3,No,Estandar,110.92,36.97
1035,62,Femenino,Sur,1132,Oro,Anuncio Pago,Movil,10.1,7,29,6,0,0,5,Sí,Estandar,125.71,25.14
1036,24,Masculino,Sur,1086,Oro,Anuncio Pago,Movil,15.4,8,34,7,0,1,8,No,Dia Siguiente,227.4,28.42
