"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
46,"Femenino","Cali",3,"Universitario","Casado","Empleado","Presencial","Sí",2,8665384,1397482,30,58867,"Saludable","Cena","Fin de Semana",25,"Sí",60,5,56,1,"Efectivo","Tablet",1,11,58,4.1,7
36,"Femenino","Bogotá",3,"Secundaria","Divorciado","Empleado","Presencial","Sí",3,3033258,877668,15,65113,"Comida Rápida","Cena","Entre Semana",17,"Sí",58,4.7,54,5.4,"Tarjeta Crédito","Smartphone",0,6,80,5.9,4
37,"Masculino","Bogotá",2,"Universitario","Divorciado","Empleado","Presencial","Sí",1,4242404,608586,13,53595,"Asiática","Almuerzo","Fin de Semana",33,"No",29,4.7,56,0.8,"Débito","Smartphone",0,5,80,8.2,0
31,"Masculino","Bogotá",3,"Técnico","Casado","Independiente","Remoto","Sí",3,4421408,1778758,23,78448,"Comida Rápida","Almuerzo","Fin de Semana",30,"No",29,4.8,36,1.4,"Efectivo","Smartphone",1,16,74,8.3,9
39,"Femenino","Bogotá",3,"Técnico","Casado","Empleado","Remoto","Sí",1,5558201,1230498,22,62245,"Saludable","Almuerzo","Fin de Semana",13,"No",36,4.2,67,4.1,"PSE","Smartphone",1,11,79,7.6,2
39,"Femenino","Medellín",6,"Universitario","Casado","Desempleado","No Aplica","Sí",1,4981158,749626,12,59249,"Comida Rápida","Almuerzo","Fin de Semana",20,"No",27,4.6,55,5,"Tarjeta Crédito","Smartphone",0,5,64,9.7,0
40,"Masculino","Bogotá",3,"Universitario","Unión Libre","Empleado","Presencial","No",0,7437185,932577,20,46978,"Saludable","Cena","Entre Semana",39,"Sí",45,4,49,8.3,"Efectivo","Smartphone",1,11,43,9.7,8
18,"Masculino","Medellín",3,"Secundaria","Soltero","Empleado","Presencial","No",0,2704719,694323,10,62886,"Asiática","Cena","Entre Semana",33,"No",37,4,47,3,"Débito","Smartphone",0,1,24,5.2,18
51,"Femenino","Cali",5,"Posgrado","Unión Libre","Independiente","Remoto","Sí",2,28116740,3e+06,37,109001,"Italiana","Cena","Entre Semana",44,"No",24,4,23,4.4,"Tarjeta Crédito","Smartphone",1,12,97,9.6,1
21,"Masculino","Bogotá",4,"Secundaria","Casado","Estudiante","No Aplica","No",0,1256019,190102,3,56569,"Saludable","Desayuno","Fin de Semana",28,"No",33,4.4,35,0.8,"Tarjeta Crédito","Smartphone",0,1,56,7.7,28
57,"Masculino","Cartagena",2,"Técnico","Casado","Empleado","Presencial","Sí",2,3255478,493685,7,73964,"Saludable","Cena","Fin de Semana",42,"No",81,4.3,45,0.6,"Débito","Smartphone",0,1,63,8,7
45,"Femenino","Medellín",5,"Universitario","Casado","Empleado","Presencial","Sí",2,17401575,2067521,35,61379,"Comida Rápida","Almuerzo","Entre Semana",20,"Sí",62,4.5,47,1.5,"Débito","Computador",1,18,74,6.5,3
24,"Femenino","Cali",4,"Universitario","Soltero","Independiente","Presencial","Sí",1,10117671,2379788,27,87334,"Asiática","Desayuno","Entre Semana",56,"No",49,4,35,1.5,"Tarjeta Crédito","Smartphone",1,9,85,5.6,27
32,"Femenino","Medellín",3,"Técnico","Casado","Empleado","Híbrido","Sí",2,3664213,497790,8,79601,"Saludable","Cena","Fin de Semana",34,"Sí",40,4.2,61,0.5,"Efectivo","Smartphone",0,6,75,5.9,14
24,"Masculino","Bogotá",2,"Secundaria","Soltero","Desempleado","No Aplica","No",0,8e+05,128947,5,28478,"Comida Rápida","Snack","Fin de Semana",22,"No",74,3.6,44,2.2,"Efectivo","Smartphone",0,1,7,3.1,17
29,"Femenino","Cali",5,"Universitario","Casado","Independiente","Presencial","Sí",1,12730060,2327566,42,55668,"Comida Rápida","Cena","Fin de Semana",28,"Sí",60,4.6,61,3,"Tarjeta Crédito","Smartphone",1,20,73,8.3,10
38,"Femenino","Barranquilla",2,"Secundaria","Divorciado","Empleado","Presencial","No",0,1819489,81237,4,22593,"Postres","Cena","Entre Semana",14,"No",89,4.3,55,4.4,"Efectivo","Computador",0,1,34,4.3,5
18,"Femenino","Medellín",2,"Técnico","Casado","Estudiante","No Aplica","No",0,8e+05,62773,2,30237,"Comida Rápida","Cena","Entre Semana",31,"No",28,4.2,43,0.7,"Débito","Smartphone",0,2,67,7.8,31
22,"Femenino","Medellín",4,"Posgrado","Soltero","Estudiante","No Aplica","No",0,3187925,354753,7,63155,"Asiática","Desayuno","Fin de Semana",37,"Sí",61,3.9,45,3,"Efectivo","Smartphone",1,2,36,10.4,32
36,"Femenino","Bogotá",3,"Universitario","Soltero","Independiente","Presencial","No",0,8160937,1064874,23,49832,"Saludable","Cena","Fin de Semana",57,"No",54,4.5,46,11.1,"Tarjeta Crédito","Smartphone",1,14,27,7.2,15
26,"Femenino","Medellín",2,"Universitario","Soltero","Independiente","Remoto","No",0,3361550,322052,14,21619,"Postres","Almuerzo","Entre Semana",20,"No",54,3.8,50,5.1,"PSE","Smartphone",1,11,34,5.1,16
