"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"E-commerce","Series B","Europa","B2B2C","No",3,9,4,4,4,26.71,0.73,325.09,21.2,0,5,1830.4,64.9,62.8
"Healthtech","Series A","LATAM","B2B","Sí",7,96,2,2,16,5.68,2.66,118.17,13.1,5.76,325.43,4563.62,82.2,-28.5
"Healthtech","Series B","Norte América","B2B","Sí",7,197,3,3,28,57.4,5.59,799.75,28.9,0,285.11,3845.81,86.4,48.9
"SaaS","Series C+","LATAM","B2B2C","Sí",4,79,4,3,9,31.77,0,635.29,17.9,0,13.83,2721.47,95,53.3
"Healthtech","Series B","Europa","B2B","Sí",14,295,3,8,25,63.47,4.81,915.94,12.4,0,244.88,4511.68,95,4.3
"Healthtech","Seed","Europa","B2B","Sí",4,62,1,4,11,10.69,2.67,78.94,5,11.04,322.91,3032.97,67.4,-24.2
"Fintech","Seed","LATAM","B2B2C","Sí",6,37,1,4,4,6.34,5.51,64.77,5,0,153.58,2308.49,36.9,40.6
"E-commerce","Series B","Norte América","B2C","Sí",8,195,4,5,10,76.62,10.62,894.66,20.8,15.13,85.84,751.23,29.9,36.2
"Healthtech","Seed","LATAM","B2B","Sí",6,27,1,4,18,6.49,3.71,80.35,13.7,0,328.32,4095.04,60.1,62.5
"Edtech","Series A","Europa","B2B","Sí",14,183,2,6,12,24.88,5.34,242.18,5.9,3.41,42.44,3272.22,66,34.3
"E-commerce","Series B","Asia","B2B","No",7,178,4,4,7,45.85,8.93,635.78,15.9,0,231.41,3820.96,53.2,-14.2
"E-commerce","Seed","Norte América","B2B","Sí",14,116,1,7,11,9.06,10.69,90.02,10.9,0,84.68,2310.67,45.8,11.7
"SaaS","Seed","Norte América","B2B","Sí",2,30,2,2,19,11.86,3.69,75.07,21.7,0,42.71,3206.33,92.3,24.3
"SaaS","Seed","Norte América","B2C","Sí",3,44,2,2,14,3.38,3.79,60.65,17.7,0,38.08,1096.05,69,40.5
"Fintech","Seed","Norte América","B2C","Sí",11,77,1,4,9,12.9,10.59,133.93,17.8,10.11,33.77,2884.44,65.5,33.1
"Fintech","Series A","Asia","B2B2C","No",6,68,2,3,5,0.1,3.67,74.63,18.7,15.84,41.78,2250.85,43.6,34.4
"E-commerce","Series A","Europa","B2C","Sí",3,87,2,3,4,9.84,2.72,131.69,5.7,0,57.13,440.08,46.4,59.9
"Healthtech","Seed","LATAM","B2C","Sí",2,28,2,1,11,7.78,0.44,82.54,13.6,0,5,118.17,57.3,0.3
"Edtech","Series C+","Norte América","B2B","No",10,265,5,7,7,156.15,4.63,2842.06,12.6,13,215.9,1951.72,23.3,42.3
"Fintech","Series A","Norte América","B2B","Sí",1,2,3,1,1,1.7,0,57.64,5,8.23,287.92,3130.62,49.5,65.3
"Fintech","Seed","Asia","B2B2C","No",5,23,2,2,5,0.91,7.75,120.22,12.2,35.17,10.9,2231.4,40.3,15.4
"Fintech","Series A","Asia","B2C","Sí",3,60,3,1,5,15.27,1.4,208.45,15.3,23.95,46.49,1785.94,62.6,-6.8
"Fintech","Series B","Asia","B2C","Sí",2,33,4,2,6,36.06,3.77,439.82,21.9,16.65,5,1243.18,54.1,9.7
"E-commerce","Seed","Asia","B2B","Sí",14,115,1,3,11,5.81,10.6,71.3,15.8,12.03,233.7,3005.67,74.4,-1.7
"Fintech","Series C+","Norte América","B2B","Sí",9,331,7,8,8,151.05,14.95,2891.97,13.1,0,315.11,6655.22,82.7,-1.9
"E-commerce","Seed","Norte América","B2B","No",8,57,2,3,9,0.1,2.78,54.34,24.2,0,159.9,3354.21,59.4,-49.7
"E-commerce","Series B","Asia","B2C","Sí",2,81,4,3,1,32.58,5.68,337.28,13,0,5,566.96,54.3,-8.5
"Edtech","Series A","Norte América","B2B","Sí",12,138,3,3,10,21.16,9.26,238.97,9.9,0,131.22,5399.48,80.2,15.9
"Fintech","Series B","Europa","B2B","Sí",12,284,4,5,10,58.02,5.77,773.36,22.6,9.87,172.11,3725.98,60.9,46.9
"SaaS","Seed","Europa","B2B","Sí",4,29,2,4,19,0.1,0.63,45.28,31.7,13.07,28.22,2465.09,68.4,15
"E-commerce","Series B","Europa","B2B","Sí",4,110,4,4,5,17.99,6.77,375.25,9,10.9,165.7,2128.02,76.3,-10.4
"E-commerce","Series B","Norte América","B2B","Sí",3,57,4,2,2,21.08,8.5,200.67,10.9,0.38,230.93,7131.43,78.5,45.5
"SaaS","Series A","Asia","B2B","No",9,87,3,4,13,22.21,2.9,212.33,13.9,15.47,20.06,2758.6,86.7,-36.4
"Fintech","Series A","LATAM","B2C","No",10,131,3,7,10,26.98,10.1,259.17,13.4,0,30.98,2086.4,44.2,42.9
"E-commerce","Series A","Europa","B2C","Sí",10,99,2,4,12,15.95,11.87,175.63,16,3.19,44.57,2249.91,77.6,2.2
"Healthtech","Seed","Europa","B2B","Sí",15,104,1,6,33,0.1,7.89,99.72,13.4,10.8,374.21,1645.66,46.5,54.9
"SaaS","Series A","Europa","B2B","Sí",12,113,2,2,29,4.67,5.77,170.11,17.7,15.78,283.23,3723.98,95,25.7
"Fintech","Series B","Norte América","B2B","Sí",5,135,3,4,6,24.51,3.88,369.98,29.6,4.66,206.87,5764.26,95,77.9
"Fintech","Series A","LATAM","B2C","Sí",6,100,3,2,8,3.44,7.08,125.9,9.5,0,5,1142.93,27.6,18.4
"E-commerce","Series B","Norte América","B2B","Sí",8,212,4,3,6,36.36,7.64,462.66,15.1,0,32.37,707.55,30.1,57
"E-commerce","Seed","Norte América","B2C","No",7,91,1,3,7,7.55,6.81,68.71,5,0,47.84,1361.42,72.9,-4.8
"E-commerce","Series C+","Asia","B2B","No",10,383,4,7,6,128.08,14.08,2471.77,5,0,5,5627.66,48.5,21.6
"SaaS","Series A","Norte América","B2B2C","No",13,173,2,6,25,34.76,10.47,351.26,15.2,0,46.88,2478.9,55.3,18.1
"Fintech","Seed","Norte América","B2C","Sí",7,65,1,3,9,0.1,0,5.41,14.4,1.88,74.92,1049.68,64.3,-41.7
"Fintech","Series A","Norte América","B2C","Sí",10,140,3,6,6,34.23,7.76,280.34,9,0.88,30.81,2028,40.8,29.4
"Healthtech","Seed","Norte América","B2C","No",8,91,1,4,35,7.41,4.4,117.63,35.6,13.07,62.03,1472.41,77.4,19.4
"SaaS","Series A","Norte América","B2C","Sí",6,94,2,2,26,7.16,4.95,182.8,34.3,4.52,60.06,1123.91,47.1,12.4
"SaaS","Series B","Europa","B2B2C","Sí",5,181,4,4,12,63.33,9.52,842.03,11.7,12.09,17.33,4015.73,87.2,-14.7
"Healthtech","Series A","Norte América","B2B","Sí",13,143,2,5,37,28.89,7.75,373.4,34.7,12.16,182.73,5722.94,69.5,50.7
"SaaS","Seed","Asia","B2C","No",7,62,1,3,13,0.1,5.24,60.86,12,24.16,79.06,2007.41,95,-12.8
"Fintech","Series B","LATAM","B2B","No",1,2,4,1,6,0.1,4.85,124.14,19.7,4.8,182.76,1602.63,53.3,45.5
"Fintech","Seed","Europa","B2B","Sí",14,127,1,5,10,5.51,12.92,90.5,12.6,13.73,415.78,5108.73,70,22.7
"Healthtech","Series B","Norte América","B2B","Sí",9,193,4,3,17,57.31,7.27,711.93,18.1,10.2,25.91,6462.26,65.4,58.9
"Healthtech","Seed","Norte América","B2B","No",10,101,1,4,33,8.76,3.12,161.76,25.7,0,77.25,2793.35,29.4,8.7
"Fintech","Seed","Asia","B2B","No",11,107,2,4,8,11.24,6.89,83.68,19.4,0,235.45,6738.68,95,70
"Fintech","Series B","Asia","B2C","Sí",8,157,3,5,6,56.46,8.04,639.01,12.8,0,64.56,1357.54,65.3,57.2
"Fintech","Series C+","Europa","B2C","Sí",11,315,4,8,4,220.11,19.89,3857.53,5,0,109.6,1928.8,36.9,33.4
"E-commerce","Seed","LATAM","B2B","Sí",12,108,2,6,11,17.58,9.95,124.3,14.2,0,116.85,4541.13,75,44.4
"E-commerce","Series A","LATAM","B2C","No",3,74,3,2,4,5.88,2.43,60.94,20.9,0,25.57,222.8,10,-1.2
"Fintech","Seed","LATAM","B2C","No",3,10,2,4,3,1.53,2.46,45.51,12.8,21.61,73.9,381.38,28.7,-15.7
"Healthtech","Series C+","Norte América","B2B","Sí",13,446,4,11,37,292.27,11.08,5000,29.5,0,353.04,4283.21,81.7,51
"SaaS","Series A","Norte América","B2C","No",14,174,3,8,36,33.13,7.4,315.24,35.3,0,16.81,1732.44,78,-13.3
"Edtech","Seed","Asia","B2B","Sí",13,107,2,6,15,0.1,8.54,83.33,28.7,1.17,195.22,4047.53,95,-12.5
"Fintech","Series B","Norte América","B2B2C","No",8,169,4,4,12,71.17,10.87,871.34,15,26.3,143.52,2282.76,26.5,39.6
"SaaS","Seed","Asia","B2B","Sí",6,40,1,2,18,7.34,3.18,121.06,15.1,13.87,20.77,5067.44,89.2,-1.3
"E-commerce","Seed","LATAM","B2C","No",14,127,1,6,9,4.09,8.84,110.22,10.9,0,48.83,715.86,54.2,25.2
"Edtech","Series B","Europa","B2C","No",12,275,4,6,6,45.11,9.21,537.39,8.2,7.39,5,1479.81,35.9,14
"SaaS","Series B","Asia","B2B","Sí",14,327,4,6,26,78.04,13.5,1040.35,20.5,0,56.32,6010.8,66.4,90.1
"Fintech","Seed","LATAM","B2B","No",2,29,1,2,8,3.43,1.26,14.26,11.5,2.98,303.12,2647.21,72.5,9.4
"E-commerce","Series B","Europa","B2C","Sí",4,88,4,2,7,30.59,0,347.24,26.3,2.12,31.09,943.25,30.5,41.7
"Healthtech","Series A","LATAM","B2B","Sí",6,4,3,5,33,17.55,0.51,156.72,38.4,0,112.68,3389.81,75.4,20.3
"Healthtech","Seed","Asia","B2C","Sí",4,22,1,4,14,7.17,1.34,141.56,14,25.04,26.16,1234.99,58.1,-6.1
"Healthtech","Series A","Norte América","B2B","No",3,72,3,2,20,18.27,4.12,219.64,36.7,16.1,104.13,4969.85,69.2,-50
"E-commerce","Seed","Norte América","B2C","Sí",5,57,1,2,0,4.67,1.85,79.81,5,18.79,32.4,758.5,56.1,47.6
"E-commerce","Series A","Europa","B2B","No",8,91,2,3,10,11.11,4.47,139.04,17.7,0,194.24,3638.63,95,13.7
"E-commerce","Seed","Europa","B2C","Sí",14,100,1,6,11,16.84,9.01,167.4,20.8,37.41,30.96,1290.26,66.5,14.8
"SaaS","Series B","Norte América","B2C","No",3,15,3,1,13,0.1,0,86.24,15.1,0.23,5,620.02,64.8,19.2
"SaaS","Series A","Norte América","B2C","Sí",15,195,3,5,19,22.96,12.36,296.15,5.9,0,76.88,2638.8,95,57.9
