"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
24,"Femenino","Cali",6,"Posgrado","Soltero","Independiente","Remoto","No",0,3e+07,1610097,36,58157,"Saludable","Cena","Fin de Semana",59,"Sí",29,3.5,40,2.3,"PSE","Smartphone",3,16,0,9.7,17
27,"Masculino","Barranquilla",2,"Universitario","Unión Libre","Independiente","Remoto","Sí",1,3568228,950102,17,52231,"Local","Cena","Entre Semana",10,"No",77,4.7,53,2,"Efectivo","Smartphone",1,11,48,6,18
28,"Masculino","Bogotá",5,"Técnico","Casado","Desempleado","No Aplica","No",0,1792951,205146,5,45165,"Comida Rápida","Cena","Entre Semana",20,"No",20,3.9,65,1.8,"Tarjeta Crédito","Smartphone",0,2,49,6,10
31,"Femenino","Medellín",3,"Técnico","Casado","Independiente","Híbrido","Sí",2,4339819,605300,14,47912,"Comida Rápida","Cena","Entre Semana",59,"Sí",64,4.4,47,0.6,"Efectivo","Smartphone",0,7,72,2.6,12
32,"Masculino","Bogotá",1,"Técnico","Unión Libre","Independiente","Híbrido","Sí",2,1871691,404590,7,61015,"Asiática","Almuerzo","Entre Semana",40,"No",74,3.7,51,0.7,"Tarjeta Crédito","Smartphone",1,3,94,3.2,8
23,"Masculino","Bogotá",6,"Técnico","Soltero","Estudiante","No Aplica","No",0,3353991,400953,6,60065,"Saludable","Cena","Fin de Semana",27,"No",40,4,67,3.1,"Débito","Smartphone",0,1,36,12.5,25
28,"Femenino","Bogotá",4,"Universitario","Soltero","Empleado","Presencial","No",0,10042137,1566841,37,41072,"Saludable","Desayuno","Fin de Semana",23,"Sí",35,3.5,31,8.4,"Efectivo","Smartphone",3,19,21,9.6,18
27,"Masculino","Cali",3,"Secundaria","Unión Libre","Empleado","Híbrido","Sí",2,3381627,862194,13,61780,"Comida Rápida","Almuerzo","Fin de Semana",54,"No",49,3.6,63,1.2,"Tarjeta Crédito","Smartphone",1,11,64,4.3,17
31,"Masculino","Cali",3,"Secundaria","Casado","Empleado","Presencial","Sí",1,3779777,675161,11,55544,"Local","Almuerzo","Entre Semana",59,"No",41,4.5,42,4.9,"Efectivo","Smartphone",0,6,80,7,20
33,"Femenino","Medellín",6,"Universitario","Soltero","Empleado","Híbrido","No",0,19656958,1523567,36,51631,"Comida Rápida","Snack","Entre Semana",19,"Sí",35,4.7,53,1.9,"Tarjeta Crédito","Smartphone",1,17,10,10.2,16
23,"Masculino","Cali",3,"Universitario","Soltero","Desempleado","No Aplica","No",0,1134525,202421,4,53428,"Asiática","Cena","Fin de Semana",40,"No",70,4.1,56,4.4,"PSE","Smartphone",0,2,28,10.4,14
22,"Femenino","Barranquilla",3,"Técnico","Soltero","Empleado","Híbrido","Sí",1,2929071,609934,7,92463,"Italiana","Cena","Fin de Semana",58,"No",35,4.8,39,6.8,"Débito","Smartphone",0,1,46,7,16
31,"Masculino","Cali",3,"Secundaria","Casado","Independiente","Remoto","Sí",1,4086896,799673,14,58040,"Asiática","Almuerzo","Fin de Semana",5,"No",71,3.4,42,7.1,"Efectivo","Smartphone",2,7,93,5.1,11
31,"Masculino","Medellín",2,"Técnico","Soltero","Independiente","Remoto","Sí",2,2771986,697354,11,60755,"Saludable","Almuerzo","Entre Semana",27,"No",68,3.5,61,1,"Efectivo","Smartphone",1,9,71,8,9
24,"Otro","Cali",2,"Técnico","Soltero","Estudiante","No Aplica","No",0,8e+05,134764,4,37713,"Comida Rápida","Almuerzo","Entre Semana",41,"No",66,4.8,41,3.9,"Efectivo","Smartphone",0,1,41,4.2,24
51,"Femenino","Medellín",3,"Posgrado","Unión Libre","Independiente","Presencial","Sí",1,12275852,2406668,30,86728,"Italiana","Cena","Fin de Semana",35,"No",47,3.8,53,0.9,"Efectivo","Smartphone",2,6,85,7.9,4
50,"Femenino","Cali",3,"Secundaria","Unión Libre","Independiente","Remoto","Sí",4,4660919,3e+06,25,148347,"Italiana","Desayuno","Entre Semana",39,"No",47,4.1,28,0.8,"Efectivo","Computador",1,8,63,9.6,0
31,"Femenino","Bogotá",1,"Técnico","Unión Libre","Empleado","Presencial","Sí",3,1398042,151989,4,43541,"Postres","Almuerzo","Fin de Semana",8,"No",92,4.7,50,6.5,"Efectivo","Smartphone",0,2,62,4.9,18
23,"Femenino","Bogotá",3,"Posgrado","Soltero","Estudiante","No Aplica","No",0,1790060,155201,4,39167,"Comida Rápida","Cena","Entre Semana",42,"No",49,4.2,59,3.5,"Débito","Smartphone",0,5,32,7.4,25
29,"Masculino","Cartagena",2,"Técnico","Soltero","Independiente","Híbrido","No",0,2057509,137824,8,19538,"Postres","Cena","Fin de Semana",18,"No",69,4.6,45,2.4,"Débito","Smartphone",0,1,25,3.5,17
24,"Masculino","Bogotá",6,"Posgrado","Soltero","Estudiante","No Aplica","No",0,6836817,620148,14,53369,"Comida Rápida","Desayuno","Fin de Semana",52,"Sí",32,5,59,10.7,"Débito","Computador",0,2,29,13.9,27
49,"Masculino","Medellín",3,"Secundaria","Unión Libre","Empleado","Presencial","Sí",1,3911962,521100,12,41416,"Comida Rápida","Cena","Fin de Semana",39,"No",51,4.2,44,2.3,"Débito","Smartphone",0,4,54,9.4,5
35,"Femenino","Bogotá",2,"Técnico","Casado","Desempleado","No Aplica","Sí",1,8e+05,380474,5,74033,"Italiana","Almuerzo","Entre Semana",54,"No",68,4.3,50,5.2,"Efectivo","Smartphone",0,1,73,8.6,11
54,"Femenino","Bogotá",4,"Universitario","Casado","Empleado","Híbrido","Sí",1,12641811,1128038,27,41676,"Comida Rápida","Cena","Fin de Semana",49,"No",20,4.4,61,5.1,"PSE","Tablet",1,12,88,7,2
37,"Femenino","Medellín",5,"Posgrado","Casado","Empleado","Presencial","No",0,20889417,642114,19,42998,"Comida Rápida","Almuerzo","Fin de Semana",11,"Sí",48,4,42,9.5,"Tarjeta Crédito","Smartphone",1,11,81,8.3,0
32,"Masculino","Medellín",5,"Universitario","Soltero","Empleado","Presencial","No",0,15531409,1362224,25,48849,"Local","Almuerzo","Entre Semana",41,"No",0,3.9,48,4.4,"PSE","Smartphone",2,14,21,9.1,14
37,"Masculino","Medellín",2,"Técnico","Casado","Empleado","Presencial","Sí",1,2829021,377662,7,63410,"Asiática","Cena","Entre Semana",37,"No",96,5,58,0.9,"Efectivo","Smartphone",0,3,68,4.1,4
33,"Femenino","Barranquilla",2,"Técnico","Casado","Empleado","Presencial","Sí",3,2898686,857064,11,87334,"Saludable","Cena","Fin de Semana",33,"No",56,4.3,57,1.7,"Débito","Smartphone",0,3,88,8.9,14
18,"Masculino","Bogotá",3,"Universitario","Soltero","Empleado","Híbrido","No",0,4186606,441139,10,41764,"Local","Almuerzo","Entre Semana",10,"No",42,4,40,2.1,"Débito","Smartphone",0,5,30,5.8,19
32,"Masculino","Cali",2,"Universitario","Divorciado","Empleado","Presencial","No",0,3572373,304541,7,40904,"Saludable","Cena","Fin de Semana",24,"No",92,4.5,44,1,"Efectivo","Smartphone",0,4,30,5.9,15
28,"Femenino","Bogotá",2,"Secundaria","Soltero","Empleado","Remoto","Sí",1,2067963,731292,14,47058,"Comida Rápida","Almuerzo","Entre Semana",12,"No",84,3.8,48,0.8,"Efectivo","Smartphone",1,3,78,5.5,16
38,"Masculino","Medellín",3,"Técnico","Unión Libre","Empleado","Presencial","No",0,4727863,497597,10,48812,"Italiana","Cena","Fin de Semana",41,"Sí",44,4.3,26,2.1,"Tarjeta Crédito","Smartphone",0,4,45,7.3,3
20,"Masculino","Medellín",2,"Técnico","Soltero","Independiente","Remoto","No",0,2458427,211960,7,33141,"Saludable","Almuerzo","Entre Semana",58,"No",78,3.8,36,4.8,"Débito","Smartphone",1,4,26,7,17
35,"Masculino","Medellín",2,"Técnico","Divorciado","Independiente","Híbrido","No",0,2484190,272874,9,34076,"Comida Rápida","Cena","Entre Semana",23,"No",58,3.8,30,3.8,"Efectivo","Smartphone",1,2,18,7.8,11
30,"Femenino","Cali",3,"Secundaria","Unión Libre","Independiente","Híbrido","Sí",1,4171969,463584,13,37766,"Comida Rápida","Cena","Entre Semana",28,"No",48,3.6,51,2.6,"Débito","Smartphone",1,9,85,5.1,17
31,"Femenino","Cartagena",4,"Posgrado","Soltero","Desempleado","No Aplica","No",0,2952015,535315,10,52631,"Local","Cena","Entre Semana",47,"No",26,4.4,43,2.9,"Efectivo","Smartphone",0,1,13,5.3,11
34,"Femenino","Bogotá",3,"Universitario","Soltero","Empleado","Presencial","No",0,6566531,488832,14,35194,"Comida Rápida","Snack","Entre Semana",40,"Sí",60,4.2,34,3.5,"Efectivo","Smartphone",0,6,34,3.6,25
42,"Masculino","Barranquilla",5,"Universitario","Soltero","Desempleado","No Aplica","Sí",3,3646499,848177,10,91557,"Comida Rápida","Almuerzo","Fin de Semana",33,"No",13,4.1,68,15,"Tarjeta Crédito","Smartphone",0,5,96,10.5,11
53,"Femenino","Bogotá",3,"Universitario","Unión Libre","Independiente","Híbrido","Sí",1,9227034,1596174,41,41331,"Comida Rápida","Desayuno","Fin de Semana",40,"Sí",37,4.7,51,5.3,"Débito","Smartphone",1,18,69,6.5,5
20,"Femenino","Bogotá",1,"Universitario","Soltero","Independiente","Remoto","No",0,2194740,471990,13,33720,"Saludable","Cena","Fin de Semana",13,"No",70,4.8,53,10.4,"Débito","Smartphone",0,3,32,4.9,10
18,"Femenino","Bogotá",3,"Secundaria","Soltero","Independiente","Presencial","No",0,2969279,189582,5,38369,"Local","Cena","Fin de Semana",24,"No",14,4.9,54,12.8,"Débito","Smartphone",0,1,21,10.1,17
28,"Masculino","Cali",2,"Universitario","Casado","Desempleado","No Aplica","No",0,8e+05,177845,5,33090,"Comida Rápida","Cena","Fin de Semana",39,"No",56,3.8,42,0.7,"Débito","Smartphone",0,4,44,2.7,14
28,"Femenino","Bogotá",2,"Universitario","Casado","Empleado","Presencial","Sí",1,3712202,202572,10,23406,"Postres","Almuerzo","Entre Semana",18,"No",66,5,78,0.6,"Efectivo","Smartphone",0,1,71,8.2,18
29,"Masculino","Medellín",2,"Técnico","Unión Libre","Independiente","Remoto","Sí",1,2593745,1114261,17,68335,"Asiática","Desayuno","Fin de Semana",58,"No",78,4.1,50,5.8,"Débito","Smartphone",1,3,65,6.4,19
39,"Masculino","Bogotá",2,"Secundaria","Casado","Empleado","Presencial","No",0,2128945,272473,9,27474,"Comida Rápida","Cena","Fin de Semana",32,"No",46,4.7,55,4.7,"Débito","Smartphone",0,6,28,6.5,2
38,"Masculino","Medellín",1,"Secundaria","Divorciado","Empleado","Presencial","No",0,1600021,104640,3,30848,"Local","Cena","Fin de Semana",11,"No",52,4.2,39,1.8,"Débito","Smartphone",0,2,15,4,0
36,"Masculino","Medellín",2,"Técnico","Casado","Desempleado","No Aplica","Sí",1,8e+05,415677,7,52988,"Local","Almuerzo","Fin de Semana",46,"No",76,3.8,45,2.7,"Tarjeta Crédito","Computador",1,2,79,4.8,0
42,"Femenino","Cali",5,"Universitario","Casado","Empleado","Remoto","Sí",1,15999318,2692888,33,87969,"Asiática","Cena","Fin de Semana",10,"No",40,3.8,41,6,"Débito","Smartphone",3,7,83,9.5,3
25,"Femenino","Cali",3,"Secundaria","Casado","Independiente","Remoto","Sí",2,3734809,1381175,13,97110,"Asiática","Cena","Fin de Semana",9,"No",44,3.9,47,3.1,"Tarjeta Crédito","Computador",1,3,60,8.6,12
48,"Femenino","Cali",3,"Técnico","Casado","Empleado","Híbrido","Sí",2,4675369,998088,19,59962,"Comida Rápida","Almuerzo","Fin de Semana",10,"No",37,4,47,1,"Débito","Computador",1,8,68,4.7,14
36,"Femenino","Cartagena",4,"Universitario","Divorciado","Empleado","Híbrido","Sí",2,11817078,2035206,25,91387,"Saludable","Almuerzo","Fin de Semana",27,"No",34,3.9,34,4,"Efectivo","Smartphone",2,12,49,4.6,0
28,"Femenino","Barranquilla",3,"Posgrado","Soltero","Independiente","Remoto","No",0,9603883,893312,34,33032,"Comida Rápida","Almuerzo","Entre Semana",46,"Sí",47,4.5,32,3.3,"Débito","Smartphone",1,16,20,4.7,18
41,"Femenino","Cartagena",4,"Posgrado","Unión Libre","Empleado","Presencial","Sí",3,12754844,2972411,30,90167,"Saludable","Cena","Entre Semana",54,"No",39,5,30,6.2,"Tarjeta Crédito","Smartphone",1,16,40,12,2
47,"Femenino","Barranquilla",3,"Secundaria","Casado","Independiente","Remoto","No",0,4496450,292703,10,28212,"Comida Rápida","Snack","Entre Semana",10,"No",54,3.8,48,3.3,"PSE","Smartphone",1,4,44,6.1,8
34,"Femenino","Medellín",6,"Posgrado","Soltero","Empleado","Híbrido","Sí",3,3e+07,3e+06,40,92029,"Comida Rápida","Cena","Fin de Semana",36,"Sí",8,4.2,43,4.6,"Tarjeta Crédito","Smartphone",1,18,87,6,14
37,"Femenino","Bogotá",2,"Secundaria","Soltero","Desempleado","No Aplica","No",0,8e+05,48247,2,25362,"Comida Rápida","Desayuno","Fin de Semana",52,"No",80,4.6,44,2,"Tarjeta Crédito","Computador",0,1,9,5.2,9
