"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
43,"Femenino","Bogotá",4,"Universitario","Soltero","Empleado","Presencial","Sí",2,9406056,1417691,23,60027,"Comida Rápida","Almuerzo","Fin de Semana",37,"No",48,4.1,50,2.6,"PSE","Smartphone",1,8,58,5.8,4
38,"Masculino","Barranquilla",4,"Universitario","Unión Libre","Empleado","Presencial","Sí",1,9094789,1707295,41,52160,"Saludable","Cena","Entre Semana",21,"Sí",29,4.5,40,7.6,"Débito","Computador",1,21,51,9.1,6
42,"Femenino","Bogotá",4,"Universitario","Unión Libre","Empleado","Presencial","Sí",1,12520316,2209920,47,50510,"Comida Rápida","Almuerzo","Fin de Semana",57,"Sí",55,3.4,46,3.1,"Tarjeta Crédito","Smartphone",5,20,76,8,5
26,"Femenino","Bogotá",3,"Técnico","Soltero","Independiente","Presencial","Sí",1,4349244,1124796,18,77795,"Asiática","Desayuno","Fin de Semana",11,"Sí",28,4.5,61,5.9,"Débito","Smartphone",1,7,69,7.1,16
26,"Femenino","Bogotá",6,"Universitario","Casado","Independiente","Remoto","No",0,22339150,1673575,43,49607,"Local","Almuerzo","Entre Semana",8,"Sí",27,4.7,43,3.5,"Tarjeta Crédito","Smartphone",1,20,33,11.9,11
45,"Femenino","Cali",2,"Técnico","Casado","Empleado","Remoto","No",0,3173713,537577,12,42459,"Local","Cena","Entre Semana",6,"No",67,4.1,41,9.2,"Efectivo","Smartphone",0,6,44,8.9,13
28,"Masculino","Barranquilla",3,"Posgrado","Soltero","Independiente","Remoto","Sí",1,7628375,1243891,21,67712,"Italiana","Snack","Fin de Semana",21,"Sí",14,4.5,34,2.8,"PSE","Computador",1,9,63,6.3,15
49,"Masculino","Bogotá",3,"Técnico","Casado","Independiente","Remoto","Sí",1,5830202,1298801,25,56512,"Saludable","Almuerzo","Fin de Semana",4,"No",63,3.8,55,0.9,"Débito","Tablet",2,14,76,6.8,1
33,"Femenino","Cali",3,"Universitario","Soltero","Empleado","Híbrido","No",0,6499165,466104,9,46908,"Asiática","Almuerzo","Entre Semana",53,"No",48,4.4,45,2.3,"PSE","Smartphone",0,3,0,8.5,24
18,"Femenino","Cartagena",4,"Técnico","Soltero","Empleado","Presencial","No",0,5126093,353792,13,31311,"Comida Rápida","Cena","Entre Semana",52,"Sí",45,4.2,34,2.5,"Débito","Smartphone",0,6,39,8.3,9
29,"Femenino","Cartagena",3,"Técnico","Casado","Empleado","Presencial","No",0,4641915,618062,14,44652,"Saludable","Desayuno","Fin de Semana",2,"No",12,4,38,3.8,"PSE","Smartphone",0,7,37,5.4,16
26,"Masculino","Bogotá",2,"Universitario","Casado","Independiente","Remoto","Sí",2,2702365,743134,15,51664,"Local","Almuerzo","Entre Semana",17,"Sí",29,4.8,53,5,"Efectivo","Smartphone",0,4,62,4.8,14
27,"Masculino","Medellín",6,"Técnico","Soltero","Desempleado","No Aplica","No",0,2372529,728431,9,84767,"Italiana","Cena","Fin de Semana",3,"No",17,4.5,42,5,"Tarjeta Crédito","Smartphone",0,2,24,8.5,21
39,"Masculino","Bogotá",2,"Técnico","Casado","Empleado","Presencial","Sí",2,3027075,1033699,12,79248,"Asiática","Cena","Entre Semana",49,"No",77,5,59,1.1,"Efectivo","Computador",0,2,60,6.9,0
44,"Masculino","Barranquilla",3,"Técnico","Soltero","Independiente","Presencial","Sí",1,5784173,1031089,17,75879,"Asiática","Desayuno","Entre Semana",23,"Sí",57,3.8,27,1.7,"Efectivo","Smartphone",1,7,61,7,4
45,"Femenino","Bogotá",2,"Técnico","Casado","Empleado","Presencial","Sí",1,3484997,428728,14,35079,"Comida Rápida","Cena","Fin de Semana",18,"Sí",57,4.5,56,3.3,"Débito","Smartphone",0,6,78,5.8,0
35,"Masculino","Medellín",6,"Universitario","Divorciado","Empleado","Híbrido","No",0,20005013,638193,26,28742,"Postres","Almuerzo","Entre Semana",9,"Sí",57,4.1,45,5.3,"Débito","Smartphone",1,14,35,7.8,11
