"Edad","Anios_Educacion","Horas_Trabajo_Semana","Experiencia_Laboral","Personas_Hogar","Ninos_Hogar","Deuda_Total","Ahorros","Estrato_Numerico","Tiempo_Comunidad","Distancia_Trabajo_KM","Calificacion_Profesional","Inversion_Educativa_Anual","Creditos_Bancarios","Servicios_Publicos_Basicos","Motivacion_Personal","Suerte_Personal","Departamento","Genero","Nivel_Educativo","Tipo_Empleo","Acceso_Internet","Estado_Civil","Ingresos_SMMLV"
31,7,56,13,2,0,4488107.9816064,0,5,2,0,5,212896.824996859,1,0.571234866581041,-0.234099113560877,-2.26801680866629,"Córdoba","Femenino","Secundaria","Independiente","Si","Casado",4.36017509875646
29,12,46,11,4,0,4221255.35558897,0,2,19,26,6,1106073.91037699,0,0.546989740506807,-1.19142674982375,-3.43672957969829,"Bogotá D.C.","Masculino","Universitaria","Empleado_Formal","Si","Unión Libre",5.30253175926241
22,17,39,0,1,0,6152731.59544611,0,3,22,17,7,0,1,0.780690074664314,1.1885425756468,0.471359214279801,"Vichada","Femenino","Posgrado","Empleado_Formal","Si","Soltero",4.25562792880234
32,17,37,14,2,0,4103365.67085029,560656.260135879,2,12,9,4,972443.975826137,1,0.813370178874729,0.168657272029728,-3.92153332242742,"Putumayo","Masculino","Técnica/Tecnológica","Empleado_Informal","Si","Casado",5.28418234580153
30,12,52,10,2,0,6629733.93805198,3787531.15125314,1,2,20,4,317123.052253545,0,0.832544176793142,0.0051691022444921,-2.61297535849735,"Cauca","Masculino","Secundaria","Empleado_Formal","Si","Viudo",3.82773398825355
40,12,42,22,2,0,9327518.20861129,0,1,15,30,4,886722.986346451,0,0.440009983307286,-0.342474830398648,-3.76425070920959,"Antioquia","Masculino","Primaria","Independiente","No","Casado",4.09416823429567
27,17,16,1,2,0,8171833.59870599,2594436.71036293,4,5,0,8,557598.275461619,1,0.629889036721815,0.273458433413788,-2.40913078654557,"Córdoba","Femenino","Ninguno","Empleado_Formal","Si","Casado",3.88401470029429
36,20,50,8,2,0,5008283.44390384,0,5,20,0,4,308037.869586536,2,0.789380275446781,0.738654084755569,2.27564194705337,"San Andrés y Providencia","Masculino","Secundaria","Independiente","Si","Unión Libre",6.0519813860224
42,12,59,15,2,1,3368826.93389453,2293160.84595426,2,15,36,5,0,1,0.809639556973202,-0.675066670775933,4.54158143140376,"Chocó","Femenino","Posgrado","Hogar","No","Soltero",4.27366645065813
44,9,22,26,1,0,4207796.70653575,3814870.05846277,1,20,0,7,726658.022001625,2,0.566763571100676,-2.32430545086086,-1.5295352623798,"Magdalena","Masculino","Técnica/Tecnológica","Empleado_Formal","No","Soltero",3.92096508142182
41,20,54,23,3,2,0,3539400.09162811,2,3,57,9,1163603.62949337,1,0.390987255477175,0.317188997707267,2.0505265542306,"Córdoba","Masculino","Técnica/Tecnológica","Hogar","Si","Casado",6.38260728487195
34,19,47,12,1,0,8874977.60608281,2356877.46688612,3,12,64,6,404045.004374668,1,0.650577442268683,0.330496976105582,-2.55253877025098,"Chocó","Femenino","Secundaria","Estudiante","Si","Soltero",5.78913299276658
26,18,58,7,1,0,8194444.33686473,0,2,5,61,4,531310.515037718,0,0.566630639214284,0.133076463111821,-1.34046341059729,"Antioquia","Femenino","Técnica/Tecnológica","Empleado_Formal","Si","Casado",5.73220971539681
48,7,33,24,1,0,4602508.4711847,1421808.82925018,1,8,7,6,432024.780201054,1,0.699335463901105,-1.04165740527438,-1.23315590899438,"Boyacá","Masculino","Secundaria","Empleado_Formal","Si","Unión Libre",2.85376461698745
35,16,29,15,3,1,7066829.33470211,8490418.60183123,2,14,57,7,2050745.60043408,1,0.848712787810982,0.343394672579268,4.25043009221554,"Cundinamarca","Masculino","Secundaria","Empleado_Informal","Si","Casado",4.61994864461331
49,16,40,31,3,0,6281570.77683949,1243590.67601399,2,14,5,5,1486823.11955855,1,0.632140683985647,-1.02436497076898,-3.41699559474364,"Huila","Masculino","Posgrado","Empleado_Informal","Si","Casado",4.98694353522747
41,20,23,23,6,3,7199471.81177691,859107.069156029,5,6,24,4,846166.441056342,2,0.464567088205191,-0.132649301909514,-4.84472677810118,"Chocó","Femenino","Secundaria","Independiente","No","Divorciado",5.47017459516352
