"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Fintech","Series A","Asia","B2B","No",3,92,2,3,3,10.43,4.18,125.97,5,6.77,287.92,1720.44,49.5,-30
"Edtech","Series A","Norte América","B2B","Sí",9,112,2,4,10,1.38,3.52,102.74,25.7,5.15,46.44,4670.89,77.3,24.1
"E-commerce","Series B","Asia","B2C","Sí",13,315,3,7,9,81.57,13.83,1093.76,12.8,21.07,107.19,3042.72,91.9,-3.1
"Fintech","Series C+","LATAM","B2C","Sí",7,284,4,7,3,200.52,10.81,3469.74,5,7.5,104,2867.25,40.1,-16.4
"Fintech","Seed","Norte América","B2B","Sí",12,87,2,4,13,19.49,8.8,149.75,21.5,12.08,147.21,5394.52,88.7,0.9
"SaaS","Series B","Norte América","B2B","Sí",10,232,3,5,24,94.56,7.92,1192.71,22.1,8.99,225.35,4069.37,95,59.7
"Fintech","Seed","Asia","B2C","Sí",1,2,2,2,3,0.1,1.98,127.28,17.4,48.43,40.02,518.74,51.6,64.9
"Healthtech","Series B","LATAM","B2B","No",6,89,3,3,38,32.83,5.72,637.26,35,5.22,255.94,3504.21,66,41.8
"E-commerce","Series B","Europa","B2B2C","No",13,246,3,6,6,85.15,12.29,1052.86,5,14.48,72.32,4335.77,59.8,22.4
"Fintech","Series A","Asia","B2C","Sí",9,92,2,4,6,37.77,6.95,272.23,6.1,0,9.34,1179.51,51.1,4.2
"Healthtech","Series A","LATAM","B2C","Sí",3,41,2,3,27,17.57,4.79,239.59,38.4,0,17.46,1171.91,75.6,5.8
"SaaS","Seed","Asia","B2C","Sí",12,102,1,4,25,8.64,9.23,138.35,24.9,0,39.45,1039.41,63.6,47.8
"Fintech","Seed","Europa","B2C","Sí",5,36,1,2,7,0.27,6.24,59.8,18.8,2.69,68.54,879.75,54.4,9.7
"Healthtech","Series A","Europa","B2C","Sí",12,171,3,6,20,19.78,10.76,284.45,5,0,39.84,2080.2,78.9,31.6
"Fintech","Series A","Asia","B2B2C","Sí",15,185,3,7,9,25,15.03,275.97,5,0,185.46,4070.36,67.6,48.2
"Edtech","Series A","Norte América","B2C","Sí",6,53,3,2,9,0.1,4.21,47.71,20,6.55,29.26,1642.75,60,7
"Edtech","Seed","Europa","B2B","Sí",15,134,1,7,13,12.4,4.46,104.29,20.3,3.05,39.79,2843.29,66.2,40.2
"SaaS","Series C+","Norte América","B2B","Sí",2,85,6,2,15,71.44,5.44,1387.29,25.3,0,207.09,4955.48,95,38
"Edtech","Series B","Asia","B2B","No",8,147,4,4,8,62.74,4.14,740.51,20.2,6.95,162.2,2785.17,87,44.9
"Fintech","Seed","LATAM","B2B2C","Sí",8,60,1,5,8,1,7.33,76.34,6.5,4.04,106.01,1536.89,63.4,44
"SaaS","Seed","Norte América","B2B","Sí",13,100,2,5,30,2.31,5.57,125.22,25.8,0,208.55,3040.71,95,64.9
"E-commerce","Seed","Asia","B2B","Sí",11,135,2,2,11,12.09,10.99,121.67,10.2,0,244.04,8358.99,95,-2.4
"Fintech","Series A","Norte América","B2B","Sí",11,130,3,5,7,34.02,6.78,269.25,5,2.09,241.76,1756.35,78.3,-3.3
"Edtech","Seed","LATAM","B2B","No",14,138,1,7,12,12.03,7.41,139.31,14,9.95,80.71,4398.82,89.7,42.2
"E-commerce","Series A","Norte América","B2C","No",8,112,2,3,11,16.05,7.84,239.14,22.7,7.67,57.8,2595.37,79.9,8.3
"Fintech","Seed","LATAM","B2B","Sí",14,83,1,7,13,12.61,4.5,96.26,19.8,8.22,5,1683.22,51.1,19.2
"SaaS","Seed","Norte América","B2C","Sí",6,44,2,2,24,6.83,2.34,119.82,29.4,46.23,65.25,1352.85,49.1,-3.4
"Healthtech","Series B","Asia","B2C","No",11,230,4,6,26,48.69,10.42,751.72,21.3,7.01,43.6,2548.53,66.3,15
"E-commerce","Series A","Europa","B2B2C","No",10,124,3,5,8,11.97,9.91,218.33,5,16.5,131.02,999.71,34.2,21.4
"E-commerce","Series B","Europa","B2B","No",10,263,4,6,8,64.76,7.86,827.39,5,7.46,176.16,4282.95,69.2,32.7
"E-commerce","Series A","Europa","B2B","Sí",9,95,2,4,10,13.21,9.06,176.09,23.9,7.42,94.29,2477.52,77.6,94.7
"E-commerce","Series C+","Norte América","B2B","Sí",6,174,7,4,8,163.76,3.73,2823.66,24.5,0.76,218.34,3239.14,53.7,14.6
"SaaS","Series A","Norte América","B2B","Sí",5,49,2,2,9,10.71,0,76.81,5,8.12,5,4129.77,71,38.9
"Fintech","Series A","Asia","B2B2C","No",13,218,2,5,7,35.44,14.25,319.71,10.3,0,58.11,3524.43,37.5,20
"E-commerce","Series B","Europa","B2B","Sí",3,72,3,2,0,38.09,1.63,424.67,5,0,175.54,3824.41,95,25.6
"E-commerce","Seed","LATAM","B2B","No",12,123,1,4,13,6.71,6.27,101.5,14.8,13.2,87.46,5413.21,60.5,23.2
"Healthtech","Series C+","Europa","B2B","Sí",14,471,5,12,50,322.69,9.52,5000,30.4,0,85.97,5516.06,95,25.2
"Edtech","Seed","Norte América","B2B","Sí",5,24,2,3,4,6.03,1.84,15.83,21.7,0,343.99,3783.26,92.3,-19.7
"Fintech","Seed","Europa","B2C","No",5,51,1,2,7,5.04,3.36,24.86,11.9,0,16.89,756.12,53.5,22
"E-commerce","Series B","Norte América","B2C","Sí",11,217,3,6,11,84.55,9.94,946.91,13.4,0.42,43.62,1992.67,55,25.2
"Edtech","Series A","Norte América","B2C","No",4,38,3,3,2,17.07,0.86,150.65,5,19.35,64.54,1253.65,50.1,2.4
