"Edad","Anios_Educacion","Horas_Trabajo_Semana","Experiencia_Laboral","Personas_Hogar","Ninos_Hogar","Deuda_Total","Ahorros","Estrato_Numerico","Tiempo_Comunidad","Distancia_Trabajo_KM","Calificacion_Profesional","Inversion_Educativa_Anual","Creditos_Bancarios","Servicios_Publicos_Basicos","Motivacion_Personal","Suerte_Personal","Departamento","Genero","Nivel_Educativo","Tipo_Empleo","Acceso_Internet","Estado_Civil","Ingresos_SMMLV"
21,11,39,2,3,1,4219928.38208385,4808219.27887215,4,22,14,5,107146.510295833,1,0.679272600036712,0.0584550995669231,3.81385420914739,"Meta","Femenino","Universitaria","Independiente","Si","Unión Libre",3.35415978063299
37,10,40,11,1,0,6206621.64039703,3330278.04267095,1,1,33,5,588173.616399464,0,0.497764544368655,-0.123563554129617,-0.649595973081887,"Valle del Cauca","Masculino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",3.28499970905654
38,14,34,11,4,0,758918.313202694,5117280.56210782,4,3,1,8,0,0,0.762422093325432,1.06068641624372,-1.21896294178441,"Quindío","Femenino","Universitaria","Empleado_Informal","No","Soltero",4.41339581117817
39,15,33,18,2,0,6545579.5327817,6474445.89058541,1,13,18,5,839731.676006339,0,0.785835289803564,1.17077572610046,0.418706575874239,"Huila","Masculino","Técnica/Tecnológica","Desempleado","No","Soltero",3.80074017091331
18,11,16,0,3,1,3916469.48688341,4381325.49291683,1,16,29,10,1128715.92086072,0,0.633377187252816,0.621033142008623,2.77828604914248,"Putumayo","Masculino","Universitaria","Empleado_Informal","Si","Unión Libre",3.35839111225625
31,11,52,11,2,0,8126210.40047814,7304.10439924197,1,6,43,5,752529.575800008,0,0.722059263002651,0.330030841404861,-3.90280727529898,"Tolima","Masculino","Secundaria","Empleado_Informal","Si","Casado",4.36688517720888
65,20,32,47,3,0,2256215.19228656,3433408.16240291,2,6,41,8,2335025.79735159,1,0.89157808613965,0.578680814063694,-2.73313706973568,"Huila","Femenino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",5.21802734169771
48,15,20,25,1,0,5496951.2956768,0,1,14,15,4,955079.340319101,1,0.817418064621146,1.5192003748871,-4.58366838283837,"Putumayo","Femenino","Técnica/Tecnológica","Independiente","Si","Soltero",3.92493628421167
51,15,32,32,4,2,4669957.40645766,812698.667412423,4,2,6,4,468201.358111317,1,0.629959222037316,-0.283086489598423,1.57783052418381,"Bogotá D.C.","Masculino","Ninguno","Empleado_Informal","No","Casado",4.53735497486523
18,14,46,0,5,1,7735404.31050227,0,2,10,0,6,2079900.72868259,1,0.979041375904332,-1.91837338710503,3.59440939035267,"Vaupés","Femenino","Secundaria","Empleado_Informal","Si","Soltero",5.28247545828571
33,7,46,11,2,0,6005138.29934406,3590.84980686777,2,28,29,3,0,1,0.824287002244087,-0.584307587122539,-1.05287308804691,"Nariño","Masculino","Primaria","Desempleado","Si","Soltero",2.60077984227857
39,14,28,14,3,0,8918156.72726987,8233265.1409367,1,21,15,5,0,0,0.918685480627301,0.895685661749269,3.82618056377396,"Nariño","Femenino","Técnica/Tecnológica","Desempleado","Si","Casado",4.0524736665497
38,10,56,19,3,1,4842206.97463229,7459151.49030388,2,7,12,3,2966545.63943741,2,0.731482046993049,0.854383449890574,2.37455220427364,"La Guajira","Masculino","Universitaria","Empleado_Informal","Si","Soltero",3.89724596555208
49,5,37,31,3,0,4396237.65902212,1799175.87383511,4,12,9,3,0,0,0.744267721823215,-1.67559234561854,3.89366540592164,"San Andrés y Providencia","Femenino","Secundaria","Empleado_Formal","Si","Casado",3.62237194671284
40,13,27,17,1,0,8866357.88043508,1419741.3184223,3,18,1,8,1161790.56263684,1,0.836956405548895,-0.180473994586246,4.6202579070814,"San Andrés y Providencia","Masculino","Universitaria","Empleado_Informal","Si","Soltero",4.1620170371723
41,16,38,21,2,0,1330876.1781269,1548391.33820085,3,21,8,6,644985.687482008,1,0.983065370174667,-1.29055987879899,-2.69036926794797,"Santander","Masculino","Técnica/Tecnológica","Empleado_Formal","No","Casado",4.8312605424596
34,13,46,6,1,0,6320328.22526614,7245154.97153157,5,15,0,8,363462.442464748,0,0.87539031947668,0.278792666441414,-1.34593089111149,"Norte de Santander","Femenino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",4.66533446773315
39,13,36,18,5,1,542200.777217343,1725363.3106948,1,13,44,8,1073422.11380092,0,0.64871010418083,1.01249796102266,-0.228619698900729,"Vichada","Femenino","Secundaria","Empleado_Informal","Si","Casado",4.87718333416132
40,4,51,22,3,0,3147797.79128952,2908260.52360357,2,22,35,4,2028952.61723431,0,0.299301947584179,0.820504366745107,3.23105974122882,"Guainía","Femenino","Secundaria","Hogar","No","Divorciado",1.64314950764225
39,13,40,21,2,0,1080418.50042156,8543491.05263806,4,7,38,6,130037.634351567,1,0.577496849092874,0.507301682911833,1.94428488379344,"Bolívar","Masculino","Técnica/Tecnológica","Empleado_Formal","No","Casado",3.84227401037074
55,11,25,25,2,0,4293222.7135404,5487163.28614807,2,18,3,8,2166040.99988218,3,0.751286531365231,0.0507304388855551,-0.203653173521161,"Cesar","Masculino","Secundaria","Empleado_Informal","Si","Unión Libre",4.12012394138285
27,16,46,9,3,2,7449632.67859433,4528408.48625797,1,14,0,6,1159309.1612439,1,0.672012489018269,-0.604862730739255,-4.05301185790449,"Santander","Femenino","Técnica/Tecnológica","Independiente","Si","Unión Libre",5.46035767058135
21,13,55,0,3,1,4498413.37554823,3019765.70592314,2,1,60,7,1207517.9017642,0,0.664781221563967,0.682141962731083,-2.4880780489184,"Cesar","Masculino","Técnica/Tecnológica","Desempleado","Si","Soltero",4.77898585879607
60,12,35,41,3,1,3786717.268386,0,3,15,5,2,642280.317053969,1,0.852337910357436,0.310660192686924,-4.03404025593773,"Santander","Masculino","Universitaria","Empleado_Formal","No","Unión Libre",4.59215413087123
25,7,37,7,4,1,2995444.17411186,0,3,6,51,4,0,0,0.671548961705916,-0.585249178427239,2.88572159828618,"Santander","Femenino","Secundaria","Empleado_Informal","Si","Soltero",3.67821000084221
50,10,45,31,3,1,3125023.45249152,0,6,26,8,6,789044.865428884,1,0.790661154391325,-1.06041218615421,-3.36780755082145,"Atlántico","Masculino","Secundaria","Empleado_Formal","Si","Soltero",4.63649486338629
48,14,55,23,3,1,8201412.93610281,0,1,12,36,9,1947538.01507637,4,0.609555272196922,1.89712853656332,-4.14124494651332,"Atlántico","Masculino","Posgrado","Empleado_Informal","No","Viudo",4.57908330276493
52,13,41,32,4,1,7166472.88491635,1270719.24300206,2,12,14,7,1414455.00517284,1,0.456101430771507,-0.518280075564994,-0.291803479194641,"Valle del Cauca","Femenino","Secundaria","Empleado_Formal","No","Casado",4.11543319498811
27,14,37,8,4,0,7327432.15875352,0,6,5,0,10,2260918.73751078,1,0.459080733757537,0.857377774096214,4.88949988037348,"Bogotá D.C.","Masculino","Universitaria","Independiente","No","Soltero",5.80747269401332
42,12,46,24,1,0,8556143.63960921,0,1,14,31,6,945175.281736099,0,0.873182317103692,-0.134457360292186,-4.95351556455716,"Tolima","Masculino","Ninguno","Empleado_Formal","No","Casado",4.40220828349309
45,13,64,27,3,1,11187369.2282184,0,4,23,36,5,945108.814894424,0,0.901792930364125,-0.63606609948125,3.41992819914594,"Bolívar","Femenino","Secundaria","Empleado_Formal","Si","Casado",4.72129232632026
42,11,34,24,3,0,6153598.25675423,4252225.76491447,2,6,14,8,585962.421166734,1,0.661525142057447,-0.568584387701439,0.0419543497264385,"Bolívar","Masculino","Secundaria","Hogar","No","Soltero",3.60800714551238
69,19,21,43,3,0,5693303.36503886,145028.048229631,1,3,9,7,0,3,0.795037768704165,-0.963180053054903,-1.5423101792112,"Nariño","Femenino","Universitaria","Hogar","No","Unión Libre",4.37203023147555
33,8,25,13,4,2,673374.854837141,3058566.60637617,1,4,0,8,494130.372349878,0,0.808530247371977,0.302407161056253,-2.24426676752046,"Guaviare","Otro","Técnica/Tecnológica","Empleado_Informal","No","Casado",3.66865117737929
45,1,44,24,2,0,6444117.30236601,3478882.31440907,2,9,14,5,0,0,0.533500912016612,-0.496370017283911,0.764416866004467,"Cauca","Masculino","Primaria","Empleado_Formal","No","Divorciado",2.38654355969435
43,9,41,24,1,0,2424621.39690814,0,2,26,0,8,1611498.63098826,2,0.799844240266148,-0.616168711436664,1.01735533680767,"Meta","Masculino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",5.00920074125374
49,20,32,28,1,0,5149451.91564143,3272553.93891405,2,17,7,7,2071611.10644326,1,0.861169383375236,-0.204979541615059,1.27052245428786,"Vichada","Masculino","Técnica/Tecnológica","Empleado_Formal","Si","Soltero",6.19339642566745
23,15,31,5,2,0,4721837.60561465,0,2,23,0,6,1608533.66035606,0,0.875880050172464,-1.34645470059442,-1.25516938976943,"Valle del Cauca","Masculino","Primaria","Hogar","Si","Casado",3.64992089018479
50,15,45,31,6,2,4656201.23266197,0,2,13,17,4,1396755.43130423,0,0.44532689596843,-1.74562920569528,-0.628180603962392,"Cesar","Femenino","Secundaria","Empleado_Informal","Si","Casado",4.68223918763618
20,14,24,2,5,1,3878712.61950735,0,2,12,2,2,530466.999284399,1,0.742626788670094,0.115254512994728,-2.51717763254419,"La Guajira","Femenino","Primaria","Independiente","Si","Soltero",3.75917685565494
39,11,35,21,3,0,11424895.0286524,0,2,12,2,9,272753.179007784,1,0.852824897965107,0.0897656981866149,-4.21087302034721,"Vaupés","Femenino","Secundaria","Empleado_Formal","Si","Divorciado",4.24888565201081
