"Edad","Anios_Educacion","Horas_Trabajo_Semana","Experiencia_Laboral","Personas_Hogar","Ninos_Hogar","Deuda_Total","Ahorros","Estrato_Numerico","Tiempo_Comunidad","Distancia_Trabajo_KM","Calificacion_Profesional","Inversion_Educativa_Anual","Creditos_Bancarios","Servicios_Publicos_Basicos","Motivacion_Personal","Suerte_Personal","Departamento","Genero","Nivel_Educativo","Tipo_Empleo","Acceso_Internet","Estado_Civil","Ingresos_SMMLV"
35,14,47,17,3,0,14243804.660337,8937813.71039853,4,13,0,5,1159557.44674688,1,0.711852502578311,1.39878993395752,-3.34276138572022,"Boyacá","Otro","Técnica/Tecnológica","Empleado_Informal","Si","Casado",5.01000145095835
34,14,43,11,6,2,1470867.86502532,835212.218460595,2,11,45,2,1436011.65981649,0,0.357966523084303,-0.349971512160955,1.11766849411651,"Vaupés","Masculino","Técnica/Tecnológica","Empleado_Informal","Si","Casado",4.86594770736024
44,11,37,26,3,0,5934085.26091813,8087934.34281308,2,8,18,4,1989525.93840124,0,0.86303608584552,0.475365760142243,-2.7377720316872,"Chocó","Otro","Ninguno","Empleado_Formal","Si","Soltero",4.29557051158085
25,12,44,3,2,0,672085.302713753,5678123.63997635,4,5,27,4,316787.83421289,0,0.959435462428912,0.363295413819735,1.13402460701764,"Huila","Femenino","Secundaria","Empleado_Formal","Si","Soltero",3.9576974627546
51,10,41,33,5,3,788080.459163463,0,1,23,41,3,1735111.96916523,2,0.471239462466022,-0.30574203550895,-4.71721276408061,"Guainía","Femenino","Técnica/Tecnológica","Independiente","Si","Casado",4.75378523745062
21,14,53,3,2,0,3940810.4961379,0,1,0,13,6,1759458.56547139,1,0.886880625426207,-0.101190109404464,-2.00422944035381,"Bogotá D.C.","Femenino","Técnica/Tecnológica","Desempleado","No","Soltero",4.45783790606996
52,17,44,27,1,0,6729152.64261335,5196418.94745535,2,12,10,6,1029748.89644447,0,0.897618074051298,0.712176659699769,-1.07099531684071,"Córdoba","Masculino","Secundaria","Empleado_Informal","Si","Soltero",5.08535295451822
53,11,39,29,2,0,3746949.22387013,6862165.87179189,1,8,19,10,2856215.7671499,1,0.807302652397978,1.02896635481034,-3.2837268197909,"Nariño","Femenino","Universitaria","Estudiante","Si","Casado",4.33979271472367
40,12,40,17,4,2,5549688.61231991,0,1,4,24,6,3273579.36410985,1,0.401035843064655,-0.346912612058708,-0.11788324220106,"Córdoba","Masculino","Secundaria","Empleado_Informal","No","Unión Libre",4.00273146179978
18,10,46,0,2,0,4502098.78056709,984499.29328006,1,7,34,3,1194406.9489199,1,0.436720306269766,1.83833548682024,-1.20329967932776,"Atlántico","Masculino","Universitaria","Empleado_Formal","No","Unión Libre",3.67748836501882
39,5,28,21,1,0,5604290.30227993,2338537.21594362,3,22,0,9,0,3,0.838234411105551,0.622845220178416,0.629867650568485,"Santander","Femenino","Secundaria","Empleado_Formal","No","Soltero",3.37501576618234
