"Country","Year","Status","Life_expectancy","Adult_mortality","Infant_deaths","Alcohol_consumption","Percentage_expenditure","Hepatitis_B","Measles","BMI","Under_five_deaths","Polio","Total_expenditure","Diphtheria","Incidents_HIV","GDP_per_capita","Population","Thinness_ten_nineteen_years","Thinness_five_nine_years","Income_composition","Schooling"
"Afghanistan",2000,"Developing",55.3,315,93,0.01,10.572735,61,6268,13,125,26,8.16,24,0.1,115.870338,314761.19,2.1,2.3,0.352,5.5
"Afghanistan",2001,"Developing",55.3,312,89,0.01,11.514273,63,8648,12.9,113,35,7.74,33,0.1,110.246739,3039338.44,1.7,2.1,0.339,5.8
"Afghanistan",2002,"Developing",56.5,5,83,0.01,17.750914,65,2384,13.3,120,37,7.82,37,0.1,192.740509,21957939.21,19.9,2.2,0.353,6.1
"Afghanistan",2003,"Developing",55.9,307,85,0.44,11.523374,64,789,13,127,43,8.88,41,0.1,213.523666,2356247.31,19.8,20.1,0.367,6.7
"Afghanistan",2004,"Developing",56.5,291,87,0.01,15.972822,69,427,13.3,120,8,8.65,5,0.1,219.132181,22677774.45,19.8,20,0.365,6.6
"Afghanistan",2005,"Developing",57,284,81,0.01,1.575805,69,1291,12.8,123,58,8.59,59,0.1,25.986195,246960.21,19.5,20,0.376,7.5
"Afghanistan",2006,"Developing",56.8,282,77,0.01,17.839828,66,1894,14.7,104,54,7.48,59,0.1,276.926386,2422919,19.5,19.4,0.42,8
"Afghanistan",2007,"Developing",56.6,295,90,0.01,11.013999,64,1167,14.8,117,62,6.8,64,0.1,393.596892,27633590.42,18.8,19,0.41,8.4
"Afghanistan",2008,"Developing",57.3,276,86,0.62,28.148548,63,1583,15.1,105,63,8.29,65,0.1,390.289298,2797093.72,19,18.7,0.424,8.6
"Afghanistan",2009,"Developing",59.3,272,76,0.01,55.76104,65,2755,15.7,104,64,9.35,62,0.1,531.592851,251127.37,18.3,18.1,0.453,8.9
"Afghanistan",2010,"Developing",58.5,277,73,0.1,81.109758,66,1976,17.3,99,64,9.28,67,0.1,567.276064,2976302.78,18.9,18.3,0.46,9
"Afghanistan",2011,"Developing",58.9,282,73,0.01,7.204733,68,3214,17.1,100,67,7.87,67,0.1,65.275899,2666133.65,17.8,18,0.455,9.7
"Afghanistan",2012,"Developing",59.5,265,67,0.01,76.839097,70,2614,17.3,87,66,8.68,66,0.1,679.657449,3457211.03,17.7,18.2,0.475,9.8
"Afghanistan",2013,"Developing",60.5,267,64,0.01,69.340799,65,445,19.3,91,61,8.1,65,0.1,611.68793,31177937.54,17.3,17.5,0.488,9.7
"Afghanistan",2014,"Developing",59.5,273,64,0.03,78.365746,64,492,18.4,86,58,8.25,65,0.1,642.531475,341485.54,17.1,17.5,0.483,10.2
"Afghanistan",2015,"Developing",64.6,277,62,0.13,77.468697,67,1140,19.6,76,5,8.26,66,0.1,591.711713,33536956.55,17.4,16.9,0.481,10
"Albania",2000,"Developing",71.9,13,1,3.63,101.868421,97,627,45.6,1,97,6.17,96,0.1,1162.638691,37976.03,2.3,2,0.657,10.6
"Albania",2001,"Developing",73.2,16,1,4.11,90.559202,98,18,44.8,1,97,6.17,97,0.1,1379.378671,33570.38,2.5,2.5,0.651,10.8
"Albania",2002,"Developing",72.9,1,1,3.71,99.72631,95,16,47.5,1,98,5.88,93,0.1,1352.420088,3701.7,1.8,2,0.668,11
"Albania",2003,"Developing",72.6,16,1,4.03,15.476028,96,9,47.4,1,97,6.45,97,0.1,188.453703,357391.44,2.1,2.5,0.682,10.6
"Albania",2004,"Developing",73,19,1,3.96,216.322887,99,7,49.5,1,97,6.26,97,0.1,2443.059429,323463.06,1.9,2.1,0.685,10.8
"Albania",2005,"Developing",74.2,10,1,5.58,26.498096,99,6,49.5,1,97,6.31,99,0.1,273.116421,313521.96,1.5,1.8,0.679,10.6
"Albania",2006,"Developing",75,91,1,5.36,3.110244,98,69,5.1,1,97,5.95,97,0.1,36.792321,3007596.95,1.5,1.9,0.691,11.5
"Albania",2007,"Developing",76.1,10,1,5.49,32.095969,98,19,50.8,1,99,6.13,97,0.1,332.13998,29208.52,1.6,1.8,0.699,11.8
"Albania",2008,"Developing",75.3,4,1,5.67,36.116617,99,0,51.6,1,97,5.68,99,0.1,426.875722,3102902.58,1.7,1.6,0.715,11.9
"Albania",2009,"Developing",75.8,103,1,5.73,366.747466,99,0,54.2,1,99,5.78,96,0.1,3967.399812,2918861.63,1.5,1.5,0.722,12.2
"Albania",2010,"Developing",76.8,90,1,5.55,41.349015,99,10,54.5,1,97,5.06,98,0.1,481.963048,316143.4,1.5,1.1,0.71,12.6
"Albania",2011,"Developing",75.4,92,0,5.55,423.676159,98,30,55.6,1,98,5.7,98,0.1,4865.607827,314830.5,1.5,1.7,0.738,13.3
"Albania",2012,"Developing",77.1,85,0,5.16,361.626819,97,9,55.4,1,97,5.51,99,0.1,4417.15926,2873.06,1.3,1.4,0.764,14.1
