"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Healthtech","Series B","Norte América","B2B","No",9,159,4,5,19,86.86,3.13,1093.97,5,18.38,87.88,1368.87,44.2,-2.5
"Fintech","Series B","Europa","B2C","No",3,61,3,2,2,0.97,6.33,116.32,5.2,3.99,11.35,1232,64.5,-42.8
"E-commerce","Seed","Asia","B2B","Sí",1,4,1,2,2,5.19,0,38.81,13.3,8.55,230.04,3237.84,82.3,8.9
"E-commerce","Series B","Europa","B2B","Sí",10,226,3,4,8,76.33,11.79,904.22,13,10.84,331.89,5757.32,36,25.8
"Healthtech","Series A","LATAM","B2B","No",9,64,2,6,25,0.1,4.59,120.48,22.7,9.68,5,5770.96,79.7,41.3
"E-commerce","Series B","Norte América","B2C","Sí",8,186,3,5,9,70.02,7.43,783.07,15.5,0.77,21.62,1841.66,65.8,71
"Edtech","Seed","LATAM","B2B","Sí",10,72,2,4,4,0.1,4.24,61.53,5.6,3.15,172.67,5014.54,74.7,99.9
"Healthtech","Series A","LATAM","B2C","No",3,83,3,4,13,10.96,0,167.64,7.1,15.99,43.47,1408.73,58.3,27.2
"Fintech","Series B","Norte América","B2B2C","No",5,129,4,3,8,35.98,4.77,442.03,13.2,0,134.17,4253.71,67.9,41.6
"SaaS","Series B","Norte América","B2B","Sí",9,191,4,6,33,74.53,10.85,965.26,41.3,6.37,153.09,4737.73,76.9,64.4
"E-commerce","Series B","Asia","B2B2C","Sí",14,251,4,6,13,73.08,14.18,979.12,36.3,15.57,71.83,2918.42,65.4,56.2
"Healthtech","Seed","Asia","B2B2C","No",3,40,1,2,16,0.1,1.44,47.92,10.9,1.07,162.53,1802.96,43.8,76.3
"Healthtech","Series A","Norte América","B2C","No",14,181,2,9,35,31.59,9.99,333.73,15.6,11.35,90.19,555.62,30.1,55.3
"Fintech","Series C+","Europa","B2B2C","No",7,175,4,5,11,125.56,9.28,2239.95,27.4,0,46.52,4687.78,91.1,-0.7
"E-commerce","Series A","Asia","B2C","Sí",1,2,2,2,5,0.1,1.79,87.81,21,13.11,112.06,1896.12,46.3,21.8
"SaaS","Series A","Norte América","B2B","No",6,75,2,2,15,12.84,1.71,137.4,22.5,13.67,110.21,2015.67,68.6,71.1
"Edtech","Seed","Europa","B2B","No",2,27,2,1,7,0.1,0,1,18.6,8.18,89.33,50,27,8.3
"E-commerce","Series A","LATAM","B2C","No",5,62,3,2,5,14.4,1.84,213.95,11,30.73,114.42,1593.16,72.7,9
"Healthtech","Series C+","Europa","B2B2C","Sí",4,190,4,7,21,171.62,3.73,3114.81,25.9,5.73,207.13,3077.66,33.7,29.6
"Fintech","Series A","Norte América","B2C","Sí",11,164,3,4,7,18.8,8.06,205.99,13.6,16.87,30.4,2504.36,52.9,2.9
"Fintech","Series C+","Norte América","B2C","No",10,355,4,8,9,198.1,13.23,3624.79,23.1,0,5,2382.8,50.4,-19.1
"SaaS","Series B","Norte América","B2B2C","Sí",3,119,4,2,14,51.8,3.77,599.15,22.8,0,80.97,1962.88,73,30.6
"Edtech","Seed","Norte América","B2B2C","No",10,91,2,4,7,5.39,4.91,92.66,6.9,13.78,75.22,2127.57,36.4,7.5
"SaaS","Seed","Norte América","B2B2C","Sí",11,103,2,4,25,6.43,5.41,176.07,22.3,10.38,103.81,3392.5,89.8,24.9
"Fintech","Seed","Europa","B2C","No",11,93,2,5,8,3.24,14,84.73,5,22.76,5,2436.44,92.7,46.7
"SaaS","Series A","Europa","B2B","Sí",4,52,3,4,6,0.79,5.64,66.27,12.9,3.31,170.01,6059.4,74.7,48.6
"Fintech","Series A","LATAM","B2B","Sí",9,136,3,3,5,21.25,7.69,251.65,14.2,17.31,297.22,7775.11,50.6,84.3
"E-commerce","Series A","Norte América","B2C","Sí",10,113,3,5,10,28.08,4.69,236.23,24.1,9.08,5,1441.51,73.1,0.5
"E-commerce","Series B","Europa","B2B2C","No",5,121,3,2,2,53.12,2.68,574.31,7.6,9.83,89.93,2988.16,33.8,-18.3
"SaaS","Series B","Norte América","B2B","No",2,106,4,2,9,44.76,2.72,479.19,19.4,5.55,157.99,1288.64,59.1,16.2
"E-commerce","Seed","Norte América","B2B2C","Sí",11,106,1,7,9,9.99,8.07,70.16,14.5,0,25.41,3479.52,33.8,-29.1
"SaaS","Series B","Europa","B2C","Sí",14,310,4,8,19,104.26,13.33,1283.99,5.6,11.48,53.98,2227.65,46.8,50.9
"Fintech","Seed","Asia","B2C","No",3,72,2,4,7,12.45,6.87,103.03,11.4,0,50.59,1010.49,47.7,7.4
"Edtech","Seed","Norte América","B2B","No",8,95,2,3,7,1.72,4.72,118.96,16.8,4.39,5,5207.86,83.2,47.8
"Edtech","Series A","Europa","B2B2C","Sí",11,109,2,6,9,23.74,3.87,232.83,22,12.49,67.77,2980.24,63.9,1.7
"Healthtech","Series C+","Europa","B2C","No",6,142,7,3,9,114.47,2.37,2028.05,7.9,10.58,25.39,1324.62,61.4,2.4
"Fintech","Series A","Europa","B2C","No",7,55,2,5,7,22.92,6.69,203.94,14.1,0,25.93,882.45,62.4,34.7
"SaaS","Series C+","Norte América","B2B","Sí",11,247,5,10,22,240.78,10.81,4167.63,19.3,0,8.96,4078.12,95,18.2
"E-commerce","Seed","Europa","B2B","No",3,31,1,3,4,6.59,0,34.69,10.4,17.75,5,1424.02,79.1,25.3
