"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"E-commerce","Series A","Norte América","B2C","Sí",2,48,2,2,4,10.81,0,149.16,16.5,31.88,74.77,528.67,61.8,6.6
"Edtech","Series A","Norte América","B2B","Sí",12,167,2,6,10,14.31,4.08,157.97,22.3,1.42,272.43,4872.69,89.8,65.3
"Healthtech","Series C+","Norte América","B2C","Sí",11,392,7,7,30,138.02,10.27,2856.96,20.2,20.58,5,859.36,46.8,32.4
"Fintech","Series B","LATAM","B2B","No",5,111,4,2,6,38.34,9.46,511.82,16.1,0.08,136.75,5151.5,44.8,40.7
"E-commerce","Series C+","Europa","B2B","Sí",14,520,7,12,13,352.18,21.89,5000,15.7,6.27,5,8913.33,51.2,-9
"Healthtech","Seed","Europa","B2B","Sí",8,110,1,4,11,0.1,3.57,87.99,11.9,0,230.73,3121.85,88.4,54.5
"E-commerce","Series A","LATAM","B2B","Sí",1,33,3,2,9,0.1,1.52,47.87,22.2,0,214.23,4010.1,79.3,-9.5
"Fintech","Series B","Norte América","B2C","Sí",7,204,4,3,5,32.09,6.8,431.03,12,2.43,62.99,978.19,55.1,53.7
"Fintech","Series B","Europa","B2C","Sí",6,125,4,3,4,10.19,5.98,189.67,11.5,1.41,63.66,531.82,62.1,53.4
"Fintech","Series A","Norte América","B2B2C","Sí",13,211,2,4,12,25.23,12.46,290.85,21.6,15.24,9.28,4238.99,68,31.1
"E-commerce","Seed","Norte América","B2B2C","No",5,51,1,3,7,2.05,5.79,53.11,10.9,0,67.66,3638.82,73.2,-7
"Healthtech","Series B","Europa","B2B","Sí",2,18,3,3,19,17.55,0,348.02,23.3,8.51,85.45,5181.11,59.1,-12.1
"E-commerce","Series B","Asia","B2C","No",13,271,3,6,7,77.15,11.18,939.97,5,0,29.89,2278.89,63.7,21.1
"E-commerce","Series A","Norte América","B2B","Sí",15,158,3,7,11,29.19,9.96,301.29,12.6,2.3,258.41,4933.42,84.7,-15.9
"E-commerce","Seed","Norte América","B2B","No",13,109,2,6,10,4.69,12.35,86.71,12.9,12.66,225.48,5739.39,31.3,-0.7
"E-commerce","Seed","Europa","B2C","Sí",9,110,1,5,8,0.3,6.2,57.4,19.5,0,21.42,1115.82,45.9,-38.3
"Fintech","Series A","LATAM","B2C","No",6,80,2,1,9,18,6.09,228.7,30.1,48.52,51.71,695.22,40.6,-6.5
"E-commerce","Seed","Europa","B2B","Sí",11,96,1,6,10,5.01,5.34,111.83,22.5,0,204.5,6581.77,95,50.7
"E-commerce","Seed","Norte América","B2B","No",14,123,2,7,13,11.25,13.03,103.43,7.7,14.09,196.84,6886.02,67.2,-33.8
