"edad","genero","ciudad","estrato","nivel_educativo","estado_civil","ocupacion","modalidad_trabajo","tiene_hijos","num_hijos","ingreso_mensual","gasto_mensual_delivery","frecuencia_pedidos_mes","ticket_promedio","categoria_preferida","horario_preferido","dia_semana_frecuente","tiempo_usuario_meses","suscripcion_premium","uso_descuentos","calificacion_promedio","tiempo_entrega_promedio","distancia_promedio_km","metodo_pago_principal","dispositivo_principal","pedidos_cancelados_mes","diversidad_restaurantes","pedidos_grupo","propina_promedio_pct","pedidos_madrugada"
25,"Masculino","Cali",2,"Universitario","Soltero","Empleado","Presencial","No",0,2876112,265647,5,58563,"Asiática","Almuerzo","Fin de Semana",20,"No",48,5,40,1.7,"Tarjeta Crédito","Smartphone",0,2,35,6.4,18
18,"Masculino","Bogotá",3,"Secundaria","Soltero","Estudiante","No Aplica","No",0,923637,73976,3,24275,"Postres","Almuerzo","Fin de Semana",58,"No",39,4.4,49,3.3,"Tarjeta Crédito","Smartphone",0,1,26,8.3,25
35,"Masculino","Bogotá",4,"Universitario","Casado","Desempleado","No Aplica","No",0,1842930,147397,3,43168,"Local","Snack","Entre Semana",52,"No",41,4,51,2.6,"Débito","Smartphone",0,3,21,4.9,0
34,"Masculino","Medellín",2,"Técnico","Soltero","Independiente","Híbrido","Sí",3,2189024,385101,8,52423,"Comida Rápida","Almuerzo","Fin de Semana",26,"No",66,3.6,42,0.6,"Débito","Smartphone",1,8,99,7.5,7
30,"Femenino","Cartagena",3,"Técnico","Casado","Independiente","Híbrido","Sí",1,4452951,415890,9,47831,"Saludable","Almuerzo","Entre Semana",58,"No",51,4,42,3.6,"Efectivo","Smartphone",0,3,55,8.1,12
48,"Masculino","Cali",3,"Universitario","Casado","Independiente","Remoto","No",0,9315189,2227896,50,45596,"Saludable","Almuerzo","Entre Semana",44,"Sí",49,4,43,1.5,"Efectivo","Tablet",2,21,34,6,2
18,"Masculino","Medellín",3,"Técnico","Soltero","Empleado","Remoto","No",0,2607003,405841,14,28216,"Comida Rápida","Cena","Entre Semana",29,"No",38,3.9,34,4.9,"Débito","Computador",1,9,0,6.7,19
19,"Masculino","Medellín",3,"Técnico","Soltero","Independiente","Híbrido","Sí",1,4177668,471879,11,44401,"Comida Rápida","Desayuno","Entre Semana",20,"No",49,4.8,32,11,"Débito","Smartphone",0,4,77,4.7,22
40,"Masculino","Cartagena",3,"Universitario","Casado","Empleado","Híbrido","Sí",2,5778624,1619822,15,100129,"Italiana","Cena","Fin de Semana",18,"No",35,5,33,1.5,"Efectivo","Tablet",0,8,71,6.4,8
42,"Femenino","Cali",5,"Posgrado","Unión Libre","Independiente","Remoto","No",0,21998363,2154163,36,59670,"Asiática","Cena","Fin de Semana",32,"Sí",50,4,28,3.2,"Tarjeta Crédito","Computador",1,12,81,7.7,4
