"sector","etapa","region","modelo_negocio","tiene_angel","anos_operacion","num_empleados","num_rondas","num_paises","num_patentes","inversion_total_millones","ingresos_anuales_millones","valuacion_actual_millones","gasto_rd_porc","crecimiento_usuarios_mensual","cac_usd","ltv_usd","tasa_retencion","nps_score"
"Edtech","Series B","Norte América","B2B","No",9,132,3,3,10,23.4,0.9,357.01,12,5.28,74.23,4626.56,65.3,10.9
"E-commerce","Seed","Norte América","B2B","No",4,73,1,3,5,0.1,1.5,44.28,7.8,5,144.42,3873.29,95,40.2
"Fintech","Series B","Europa","B2B","No",3,36,3,3,2,13.02,2.73,161.72,5.1,1.12,479.29,6002.35,62.7,59
"E-commerce","Series C+","Norte América","B2C","No",11,441,4,11,8,266.05,15.09,4709.33,6.1,3.65,53.92,2639.02,80.7,-2.7
"E-commerce","Seed","LATAM","B2B","Sí",2,13,2,1,7,3.66,0,94.24,18.3,0,175.45,3041.7,91,20.3
"E-commerce","Series A","Asia","B2B","Sí",12,125,2,5,6,22.75,4.72,200.29,18.5,0,201.7,5770.4,76.5,-3.5
"SaaS","Series B","Europa","B2B","Sí",8,210,3,3,18,48.49,5.89,670.28,6.7,2.3,141.93,2099.59,67.1,-26.8
"E-commerce","Seed","Europa","B2B","Sí",12,103,1,4,13,16.22,8.15,115.83,28.7,0,116.45,5361.67,94.7,-7.7
"SaaS","Series A","Europa","B2B2C","Sí",8,91,2,4,10,14.01,0.39,164.06,11.2,9.9,55.51,1922.29,47.8,47.6
"Healthtech","Series B","Norte América","B2B2C","Sí",5,116,3,3,29,64.24,3.53,864.18,27.7,28.03,126.25,1454.02,41.8,9.5
"SaaS","Seed","LATAM","B2B","Sí",11,66,1,5,25,2.6,3.39,115.64,32.1,0,65.19,2224.32,79.9,31.2
"Edtech","Series B","LATAM","B2C","Sí",3,152,3,3,6,74.3,4.56,812.47,13.6,6.69,11.26,1396.45,57.2,31.6
"SaaS","Series B","Norte América","B2C","No",9,204,3,4,27,49.13,3.34,683.54,31.6,3.36,25.13,1662.47,60,62.7
"Healthtech","Series A","LATAM","B2B","Sí",12,166,3,6,39,3.06,7.84,279.03,36,6.55,5,5951.38,95,50.4
"Fintech","Series B","Norte América","B2C","Sí",4,78,4,3,4,46.77,4.37,519.9,14,0,5,405.76,61.8,-0.9
"Edtech","Series B","Europa","B2B","No",7,132,4,5,4,66.59,3.77,682.33,9.1,7.51,300.7,2575.55,41.8,-19.8
"Edtech","Seed","Europa","B2B","Sí",4,42,1,1,6,1.06,0,34.77,5.9,8.42,120.74,3114.65,81,8
"SaaS","Series B","Europa","B2B","Sí",15,286,3,6,18,74.96,10.88,967.41,9,12.46,131.6,5703.22,82.5,14
"E-commerce","Seed","Europa","B2C","Sí",5,43,1,1,4,9.28,6.71,107.11,5,18.78,5,1457.06,46.4,-0.1
"Edtech","Seed","Norte América","B2B2C","No",4,12,1,2,4,9.25,1.9,89.52,15.9,18.23,106.35,1823.82,36.2,46.5
"SaaS","Series A","Europa","B2C","Sí",6,88,2,3,8,19.85,4.38,198.76,5.1,11.2,77.54,1079.27,64.6,71.9
"E-commerce","Series A","Asia","B2C","Sí",2,2,2,1,1,4.58,1.28,150.55,7.4,42.32,63.47,910.89,48,36.2
"SaaS","Series C+","Asia","B2C","No",6,183,5,6,15,171.12,6.36,3033.66,16.1,11.39,59.32,2316.41,64.6,5.2
"Healthtech","Series A","Norte América","B2B","Sí",4,14,2,4,20,25.01,1.57,265.37,26.9,25.45,174.04,3202.25,74.7,34.9
"Healthtech","Series A","Norte América","B2B","No",10,121,2,5,29,18.87,8.1,232.79,18,0.09,220.57,3188.23,64.7,-22.7
"E-commerce","Series A","Europa","B2C","No",2,41,3,1,1,1.94,2.91,78.44,5,15.2,108.54,836.58,52.4,18.9
"Edtech","Seed","Europa","B2B2C","Sí",2,19,1,1,5,8.87,2.15,60.9,6.8,0,101.25,2287.76,69.1,-28.3
"Healthtech","Series B","LATAM","B2C","No",10,201,3,4,42,70.72,9.72,987.57,39.6,0,67.26,1713.41,66.8,7.4
"E-commerce","Series A","Norte América","B2B","Sí",8,77,2,5,8,20.88,8.06,208.84,12.5,12.18,297.39,4770.66,68.3,33.5
"E-commerce","Series A","Europa","B2B","No",12,124,2,5,8,25.12,8.46,254.55,6.1,4.91,52.33,3295.5,60,69.4
"Fintech","Series C+","LATAM","B2B","No",6,215,4,7,4,204.53,9.59,3459.37,7,2.2,62.57,7146.28,95,21.2
"Fintech","Seed","Europa","B2C","No",7,39,1,3,7,3.65,2.95,100.01,12.1,9.05,28.09,1280.01,60.9,29
"Healthtech","Seed","Asia","B2B","Sí",8,64,1,3,44,6.72,2.75,135.29,44.8,24.02,175.48,3620.51,95,63.7
"Fintech","Series A","Norte América","B2C","Sí",4,79,2,2,5,10.78,6.53,91.27,7.6,0,5.87,1009.31,53.7,28.6
"E-commerce","Series A","LATAM","B2B","Sí",3,44,3,3,3,0.1,3.67,95.55,14,8.12,5,3795.53,95,15.9
"E-commerce","Seed","Norte América","B2C","Sí",9,95,1,5,10,5.54,7.88,139.13,14.4,16.36,50.17,1527.54,40.9,6.6
"Healthtech","Seed","LATAM","B2C","No",8,88,2,3,34,3.01,1.17,149.19,27.5,21.68,55.13,1437.81,55.7,30.8
"Fintech","Series B","Norte América","B2B","Sí",2,71,4,1,4,0.1,5.72,118.77,15.1,10.33,272.59,3157.82,70.1,-18
"Edtech","Series B","Europa","B2B","Sí",12,285,3,6,10,62.13,11.86,848.28,15,11.76,149.37,5521.87,74.5,87.6
"Fintech","Series B","LATAM","B2B2C","No",2,23,3,2,1,19.63,0.1,305.34,5,11.04,82.64,1142.86,50.8,64.9
"E-commerce","Series A","Europa","B2B2C","Sí",3,45,2,1,4,9.64,6.76,88.14,13.3,5.39,5,4362.8,88.6,45.6
"Healthtech","Series A","Norte América","B2B","Sí",10,122,3,5,24,28.33,5.85,266.01,8.9,4,304.41,5826.95,63.6,25.7
"Edtech","Seed","Europa","B2B","No",3,40,1,3,9,0.1,2,66.43,33.8,5.48,5,4989.47,91.4,28.1
"Healthtech","Series A","Europa","B2B","No",5,94,3,3,19,16.08,0,169.59,22.7,1.94,326.58,6008.63,93.3,16.3
"E-commerce","Seed","Norte América","B2B","No",3,18,1,2,3,7.13,0,14.08,14,5.79,26.51,4034.1,88.4,-23
"Fintech","Series C+","LATAM","B2B","No",5,122,7,4,9,53.31,7.72,1076.02,16.6,14.03,327.35,6515.31,45.1,-26.1
"E-commerce","Series A","Europa","B2C","No",12,154,2,5,10,20.65,11.83,247.5,22.4,13.77,57.71,1855.21,10,-26.7
"E-commerce","Series A","Europa","B2B2C","Sí",4,65,2,2,9,0.1,4.16,48.07,14.5,3.14,196.28,770.89,58.5,8.9
"Healthtech","Seed","Norte América","B2B","Sí",11,96,2,4,35,3.4,4.99,111.24,34.8,1.42,258.07,1046.82,47.5,82
"Edtech","Series A","Europa","B2B","Sí",1,19,3,2,0,1.52,0,68.46,5,5.12,248.13,5242.72,95,43.2
"Healthtech","Series B","Norte América","B2C","No",10,239,3,6,26,50.87,5.57,812.18,21.6,11.96,122.66,1287.26,63.3,50.8
"Healthtech","Series A","Asia","B2B","No",11,180,2,5,26,17.4,9.59,288.38,19.5,7.11,342.24,5331.29,77,28.3
"Healthtech","Series B","Asia","B2B2C","No",3,146,3,4,12,17.19,3.67,348.72,5,17.57,192.88,2097.52,44.3,48.2
"SaaS","Series A","Norte América","B2C","No",6,80,3,4,17,20.21,4.75,185.64,17.1,0,40.35,1098.94,45.1,-3.1
"Edtech","Series B","Europa","B2C","Sí",10,193,4,5,7,42.4,7.39,645.99,5,25.05,7.17,1606.8,75.4,37.8
"SaaS","Series C+","Europa","B2C","No",4,220,7,6,21,126.93,9.76,2576.82,34.9,21.64,60.76,2086.4,71,-6.8
"Fintech","Series B","Europa","B2C","Sí",4,85,3,2,4,48.23,1.9,577.05,19.7,23.43,5,50,49.4,20.4
"Healthtech","Seed","Norte América","B2B2C","No",9,93,1,4,28,17.83,2.72,117.3,23.3,2.34,149.4,176.02,32.9,-11.3
"Fintech","Series C+","LATAM","B2B","No",6,117,6,2,7,63.8,8.79,1267.36,16.9,4.06,250.29,5601.28,77.1,-26.7
"SaaS","Series B","Asia","B2B2C","Sí",5,131,4,3,22,48.05,7.45,641.86,30.8,0,54.73,2808.8,61,-18.6
"Healthtech","Series B","Norte América","B2B","No",2,62,4,3,13,30.49,1.69,369.23,27.7,9.22,200.03,1554.2,47.6,-50
"Edtech","Series B","Europa","B2B","No",8,137,4,3,7,52.64,0,619.19,15.8,16.13,200.3,2106.81,95,22.3
"E-commerce","Series A","Norte América","B2B","Sí",12,140,2,6,10,26.34,6.76,219.23,21.1,8.57,159,5622.25,55.9,9.5
"SaaS","Series A","Europa","B2B","Sí",2,35,2,1,7,15.09,0,146.16,13.6,0,165.11,1407.06,63.9,38.3
"Healthtech","Series A","Norte América","B2B2C","Sí",4,50,3,2,23,4.81,2,92.6,27.5,5.47,136.93,1914.83,47.1,5
"Edtech","Seed","Norte América","B2B","No",2,52,1,1,1,0.1,2.86,39.08,20.2,1.11,148.21,2560.33,67.2,50.4
"E-commerce","Series A","Norte América","B2C","Sí",5,47,3,1,1,4.61,0.15,73.78,5,17.88,61.73,50,46.4,40.4
"Edtech","Series A","Norte América","B2B","Sí",14,217,3,7,11,27.11,3.56,266.07,5,5.83,5,2488.54,79.9,-30.5
"Fintech","Seed","LATAM","B2B2C","Sí",13,113,2,5,9,6.72,9.97,99.2,14.1,20.54,98.25,1900.58,29.3,52.1
"Healthtech","Series B","Norte América","B2B2C","No",6,133,4,6,19,71.99,1.36,833.22,16.2,11.02,235.34,1138.31,68.8,34.1
"Healthtech","Series B","Norte América","B2C","Sí",12,281,4,6,38,82.96,8.3,1083.74,28.5,2.1,71.69,696.55,60.5,44.7
"Edtech","Series A","Norte América","B2B","Sí",3,62,3,3,4,10.73,1.17,64.97,22.4,0,302.95,3493.16,83.1,9.4
"Fintech","Series B","Norte América","B2B2C","Sí",5,93,4,4,3,21.13,6.71,320.67,9.4,9.1,75.59,3498.74,81.8,43.8
"Healthtech","Seed","Norte América","B2C","Sí",10,81,2,4,36,8.88,4.21,114.69,34.4,0,141.1,1397.79,46.2,-40.2
"Healthtech","Series A","Norte América","B2B","No",13,186,2,5,38,23.62,5.95,312.24,36.6,7.55,358.52,4316.29,60,30.5
"E-commerce","Series A","Asia","B2B","Sí",2,24,3,2,1,0.1,1.01,74.82,5,4.5,31.8,3842.65,47.3,-14.6
"Fintech","Series A","LATAM","B2B","No",15,191,2,6,12,32.83,13.08,327.81,18.7,12.65,107.15,7170.73,72.5,46.4
"E-commerce","Series A","Norte América","B2C","Sí",12,201,3,6,6,39.34,9.58,366.42,18.6,7.15,50.66,1020.68,54.1,22.5
"Fintech","Series B","LATAM","B2C","No",11,131,4,5,8,76.66,1.45,791.21,10.1,0,87.39,1204.25,61.5,69
"Fintech","Series A","Norte América","B2B2C","Sí",11,133,2,4,10,11.58,5.76,166.82,16.7,0.5,233.9,50,31.6,-17.8
"Fintech","Series A","Europa","B2C","Sí",4,96,3,3,4,12.19,7.42,142.84,11.9,28.38,52.73,466.67,36.1,57.9
"SaaS","Seed","LATAM","B2C","Sí",4,29,2,1,26,0.1,0,50.18,31.8,2.14,6.76,707.6,57.6,61.9
"Fintech","Series A","LATAM","B2C","No",6,73,2,4,7,3.32,4.81,131.7,15.1,21.23,56.34,2262.7,55.7,71.2
"Fintech","Series C+","LATAM","B2C","Sí",5,248,5,4,5,147.44,6.92,2714.48,5,0.7,25.66,1440.09,66.8,62.7
"E-commerce","Seed","Asia","B2B2C","No",6,55,2,3,6,4.97,4.31,56.05,16.2,0,41.07,4160.68,77.3,-5
"Fintech","Series A","Europa","B2C","Sí",14,216,2,7,16,40.15,17.91,430.27,16.6,31.37,75.81,2499.32,31.4,25.2
"E-commerce","Series B","Europa","B2B","Sí",12,206,3,6,9,40.07,8.88,539.88,15.1,11.13,119.34,4990.58,73.7,5.2
"E-commerce","Series B","Norte América","B2B","Sí",13,267,4,7,15,66.08,12,838.7,27.8,3.65,183.47,1799.46,42.6,-0.2
"Fintech","Series A","Norte América","B2C","Sí",6,80,3,2,2,12.26,6.34,126.65,13.1,6.77,91.62,1199.72,51,51.9
"Fintech","Series A","Asia","B2B","Sí",1,51,3,1,3,11.98,0,111.81,14.8,1.18,221.06,983.85,67.5,63.3
"Fintech","Series B","Asia","B2C","No",11,255,3,5,7,77.69,10.49,880.54,16.5,17.18,81.07,1193.13,10,28.4
"Fintech","Series A","Norte América","B2B","Sí",4,29,3,1,7,3.93,2.17,84.76,21.9,0,239.71,4330.47,69.7,-31.5
"SaaS","Seed","LATAM","B2B","No",4,19,1,2,17,4.23,3.71,109.87,22.9,13.21,243.24,3714.27,91.5,28.4
"Fintech","Series A","Europa","B2C","No",14,128,2,6,15,18.53,13.96,252.55,20.3,4.21,47.95,1668.71,71.4,29
"Edtech","Series A","Europa","B2C","Sí",10,155,3,5,8,8.52,5.04,225.84,10.5,45.26,39.99,1045.64,51.3,47.4
"E-commerce","Series B","LATAM","B2B","No",10,217,3,6,4,79.36,4.43,832.31,10.6,0,154.92,2456.94,33.3,-8.4
"Edtech","Series C+","Europa","B2B","No",2,11,4,2,2,0.1,0.38,29.52,10,0,143.98,3344.18,90.8,58.6
"Healthtech","Seed","Europa","B2B","Sí",13,104,1,6,33,0.85,7.75,115.42,30.1,32.42,177.66,5019.74,64.5,40.6
"Edtech","Series A","Europa","B2C","Sí",14,142,3,7,12,31.78,4.93,230.66,14.6,8.64,76.61,1520.56,27.5,19.3
"Healthtech","Series B","Europa","B2B","Sí",11,219,3,7,23,60.2,8.7,816.15,7.3,10.32,358.2,4357.28,60.2,84.4
"Edtech","Seed","Europa","B2B2C","No",2,27,1,1,3,3.55,2.08,10.3,18,6.09,179.74,2083.64,51.4,15.7
"SaaS","Seed","Asia","B2B2C","Sí",11,79,2,4,26,0.1,4.66,153.84,29.5,38.14,70.44,2652.7,67.5,56.4
"SaaS","Series B","Asia","B2C","Sí",4,73,3,3,15,9.14,3.66,289.72,19.3,16.19,65.62,1909.43,93,12.4
"E-commerce","Seed","Norte América","B2B","No",15,113,1,5,14,5.72,9.01,105.95,19.9,0,285.63,2931.29,95,26.1
"Edtech","Series B","Norte América","B2B2C","Sí",12,206,4,6,11,73.33,6.81,842.07,17.6,3.62,122.37,1978.28,35.6,18.3
"SaaS","Series B","Europa","B2C","Sí",13,246,4,7,31,80.23,10.12,1093.72,27.3,3.94,49.83,1026.84,57.4,32.6
"E-commerce","Series B","Norte América","B2C","Sí",15,309,4,7,10,79.92,15.5,946.25,5.8,0,53.83,2171.62,67.3,-1
"E-commerce","Seed","Norte América","B2C","No",5,35,1,4,2,0.1,1.71,33.94,10.3,11.03,23.76,1546.45,53.9,6.6
"SaaS","Seed","Norte América","B2C","Sí",6,55,1,2,12,4.43,3.78,73.48,11.7,0,28.1,588.62,74.1,83.6
"Edtech","Series B","Norte América","B2B2C","Sí",15,327,4,6,15,74.11,8.84,854.15,26.4,1.05,116.62,3389.56,53.7,29.1
"Fintech","Series A","LATAM","B2B","Sí",10,129,2,4,8,24.15,12.71,266.78,14.3,12.11,275.89,8421.6,72.9,23.1
"Fintech","Series C+","LATAM","B2C","Sí",14,417,5,11,11,264.07,18.75,4750.14,8.4,0,36.15,3727.04,60.5,12.5
"E-commerce","Series B","Asia","B2C","Sí",7,154,4,6,6,37.07,6.67,505.24,5,10.26,35.01,1872.84,66.8,-15.8
"SaaS","Seed","Europa","B2B","Sí",3,71,1,2,12,0.1,1.07,29.32,31.2,2.73,220.54,3761.55,84.8,40
"Fintech","Series C+","Europa","B2B","Sí",1,8,7,1,1,34.89,2.53,696.77,5,0,28.6,3495.88,95,24.9
"Fintech","Seed","Asia","B2C","Sí",13,80,1,5,12,3.61,10.94,128.67,16.3,17.61,50.4,2146.65,66.5,-5.3
"SaaS","Series B","Norte América","B2B2C","Sí",11,208,4,6,18,113.03,5,1295.27,18.1,19.87,117.25,3269.1,90.3,27.6
"Healthtech","Series B","Norte América","B2B","No",8,200,4,6,16,63.15,5.13,759.74,14.4,0,43.52,1524.12,62.2,27.2
"Healthtech","Series B","LATAM","B2C","No",8,135,3,4,18,13.06,4.2,293.43,20.5,0,5,50,45.4,1.5
"Fintech","Series B","Norte América","B2B2C","Sí",10,162,4,4,7,56.05,9.74,718.94,7.9,8.13,126.38,3725.46,47.4,2.7
"Healthtech","Series A","Europa","B2C","Sí",7,98,2,5,35,17.61,7.37,272.86,27.9,0,23.91,2359,64.9,-33.6
"Healthtech","Seed","Europa","B2C","Sí",13,115,2,6,38,0.1,3.84,111.11,36.7,6.08,24.96,825.76,44.2,-3.1
"Fintech","Series A","Norte América","B2B","Sí",1,2,3,1,6,7.56,0.3,101.3,12.5,4.69,252.05,2224.26,65.9,-9.1
"E-commerce","Seed","Norte América","B2B","No",3,28,2,4,5,3,3.63,34.79,19.5,0,16.32,2149.75,52.5,21.3
"E-commerce","Series A","Europa","B2B","No",12,147,2,6,6,14.65,10.5,226.45,9.3,8.06,172.68,8101,88.2,-12.5
"SaaS","Series A","Asia","B2B","No",4,77,2,4,4,5.15,3.54,85.48,5,1.08,5,4532.64,84,20.7
"Healthtech","Series B","Norte América","B2B","Sí",5,128,4,4,16,66.18,5.09,785.78,21.3,8.02,281.76,6139,95,51.9
"SaaS","Series B","Norte América","B2B","No",12,243,3,5,16,80.13,7.74,960.26,5,4.78,162.88,6301.82,95,58.3
"SaaS","Series B","Europa","B2B","Sí",3,50,4,2,10,9.51,0.92,160.75,13.6,0.76,98.5,2303.04,69.5,-3.5
"Fintech","Series B","Asia","B2B","Sí",13,266,3,6,9,85.67,13.6,936.42,19.4,0,292.7,6571.57,69.1,-6.4
"E-commerce","Series B","Asia","B2B","Sí",10,243,3,8,9,102.2,10.65,1105.74,16.6,1.28,114.86,4376.98,80.3,0.2
"Edtech","Series A","LATAM","B2B","No",8,116,2,5,6,34.17,6.43,229.27,5,6.78,65.48,4484.46,47.1,14
"SaaS","Seed","Asia","B2B","Sí",11,81,1,4,26,5.72,5.9,130.6,32.9,12.19,5,253.41,44.9,28.6
"Fintech","Series B","Norte América","B2B","Sí",14,253,3,9,10,86.55,16.07,1066.13,11.4,6.2,5,5602.05,45.7,47.2
"E-commerce","Series B","Norte América","B2B","Sí",12,281,3,7,11,60.55,13.09,769.25,16.9,3.29,219.37,4659.89,59.5,-25.8
"Fintech","Series A","Europa","B2C","Sí",3,52,3,1,2,2.09,0,84.98,12.3,29.12,64.67,1721.15,67.2,67.4
"Healthtech","Series A","Norte América","B2B","Sí",12,158,3,5,38,27.38,7.2,316.22,33.4,2.82,202.68,4593.38,67.9,29.1
"E-commerce","Series A","Europa","B2C","Sí",9,103,3,5,9,16.54,6.45,165.51,5,0,11.66,1021.19,32,15
"Healthtech","Series A","LATAM","B2C","Sí",12,138,2,7,23,33.99,8.72,387.72,21.3,28.63,33.36,1243.59,43,-4.3
"E-commerce","Series C+","Norte América","B2B","Sí",12,365,5,7,10,251.31,17.29,4514.07,18.6,10.68,136.09,6598.37,95,34.9
"Healthtech","Seed","Asia","B2C","No",14,139,2,7,40,12.63,5.6,128.63,23.7,0,27.97,1900.32,48.3,1.8
"E-commerce","Seed","Norte América","B2B","No",12,99,2,5,9,4.1,7.72,48.1,10.4,0,93.65,4882.47,87.5,14.7
"Fintech","Series A","Europa","B2B","Sí",4,76,3,2,5,13.81,0.78,171.18,19.3,17.29,65.76,3966.18,79.3,38.9
"E-commerce","Seed","LATAM","B2B","Sí",3,29,1,4,1,8.25,3,60.99,5.8,9.35,184.56,3931.79,95,55.9
"Fintech","Seed","Asia","B2B2C","Sí",14,98,1,4,9,16.8,8.19,189.75,6.9,29.47,150.75,4274.96,43.2,20.1
"Edtech","Series A","Norte América","B2B","No",6,87,3,3,8,18.27,1.55,161.85,18.9,11.18,100.01,997.37,42.5,25.9
"E-commerce","Series B","Norte América","B2C","No",11,247,3,9,5,69.48,12.53,821.99,8.9,13.78,27.78,1767.22,55.7,14
"Edtech","Series A","Europa","B2B2C","Sí",9,85,2,4,7,7.6,3.85,105.58,18.4,0,5,2782.01,77.4,-2.1
"Fintech","Seed","LATAM","B2B2C","Sí",9,95,1,5,11,6.41,7.62,74.73,17,2.6,295.1,3241.55,22.2,19.7
"E-commerce","Seed","LATAM","B2C","Sí",11,84,1,5,10,1.71,7.68,122.5,22.9,32.81,22.16,1628.06,64.7,34.3
"Fintech","Seed","Europa","B2B","Sí",3,51,2,3,5,1.16,2.68,3.85,10.9,1.46,258.38,4818.75,68.1,-12
"Fintech","Series A","Europa","B2C","Sí",9,134,3,4,8,4.4,6.65,153.26,11.1,8.54,86.06,1509.6,63,8.9
"Fintech","Seed","LATAM","B2B","No",3,17,2,1,9,0.1,1.27,3.42,23.7,0,351.38,4100.29,58.8,34.9
"E-commerce","Series C+","Norte América","B2C","No",11,335,6,11,7,256.04,13.73,4435.21,13.4,0,26.48,2079.32,53.4,27.7
"E-commerce","Seed","LATAM","B2B","Sí",9,65,1,3,8,4.24,8.51,69.2,5,17.94,277.57,4047.21,95,27.3
"Fintech","Seed","Norte América","B2B","Sí",4,23,1,3,7,0.1,4.93,21.45,6.2,1.14,357.79,2778,38.4,-48.5
"Healthtech","Series B","Norte América","B2B","Sí",9,202,4,6,35,70.6,5.2,943.75,27.5,7.44,145.6,3048.02,53,63.7
"Healthtech","Series A","Norte América","B2B","Sí",4,97,2,2,5,20.2,4.53,174.13,11.8,15.2,294.2,3469.76,95,36.2
"Fintech","Series B","Europa","B2B","No",15,274,3,6,11,102.59,12.23,1163.93,18.8,0.76,66.23,6031.59,35.9,46.8
