CustomerID,Age,Gender,Region,CustomerSince_days,MembershipLevel,AcquisitionSource,DeviceType,TimeOnSite_min,PagesViewed,LastLogin_days,NumPurchases_lifetime,CustomerSupportInteractions,ReturnedItems_last_purchase,ItemsInCart,UsedDiscount,ShippingType,TotalPurchase_USD,AvgItemValue_USD
1001,38,No Binario,Norte,785,Oro,Redes Sociales,Tablet,12.5,12,27,9,0,0,7,No,Estandar,201.76,28.82
1002,46,Masculino,Sur,1404,Oro,Email,Movil,19,14,13,4,0,0,5,Sí,Estandar,164.34,32.87
1003,33,Femenino,Norte,1389,Plata,Redes Sociales,Desktop,29.1,18,22,3,1,1,7,No,Estandar,227.78,32.54
1004,19,Masculino,Oeste,601,Plata,Busqueda Organica,Desktop,10.3,9,22,4,0,0,4,No,Express,100.79,25.2
1005,34,Femenino,Sur,1015,Oro,Anuncio Pago,Movil,12.1,9,16,5,1,0,6,No,Express,211.68,35.28
1006,51,Femenino,Norte,552,Plata,Busqueda Organica,Movil,5.5,6,10,1,0,0,6,Sí,Express,150.82,25.14
1007,44,Femenino,Este,252,Bronce,Redes Sociales,Movil,1.8,3,66,1,0,0,4,Sí,Estandar,101.45,25.36
1008,34,Femenino,Este,1346,Platino,Anuncio Pago,Tablet,8.9,5,4,14,2,0,3,No,Express,192.82,64.27
1009,40,Femenino,Sur,107,Bronce,Busqueda Organica,Desktop,27,22,11,1,0,0,4,Sí,Estandar,108.87,27.22
1010,26,Femenino,Oeste,722,Plata,Busqueda Organica,Tablet,8.8,8,15,5,1,1,7,Sí,Estandar,104.33,14.9
1011,44,Masculino,Norte,959,Plata,Busqueda Organica,Tablet,13.4,7,23,4,1,0,4,No,Estandar,172.73,43.18
1012,48,Femenino,Oeste,538,Plata,Busqueda Organica,Desktop,8,9,27,4,0,0,3,No,Estandar,123.29,41.1
1013,41,Femenino,Sur,319,Plata,Busqueda Organica,Movil,2.9,6,24,2,0,1,2,Sí,Estandar,106.44,53.22
1014,43,Femenino,Oeste,1182,Platino,Busqueda Organica,Movil,8,8,6,12,2,3,8,Sí,Express,267.06,33.38
1015,22,Femenino,Sur,1085,Oro,Email,Desktop,11.3,10,27,8,0,0,1,No,Estandar,106.43,106.43
1016,34,Femenino,Este,319,Plata,Busqueda Organica,Movil,4.8,5,4,2,1,0,3,Sí,Express,57.57,19.19
1017,25,Masculino,Sur,155,Plata,Busqueda Organica,Movil,7.5,6,33,2,0,0,5,No,Estandar,129.67,25.93
1018,34,Femenino,Sur,350,Plata,Redes Sociales,Movil,17.7,13,10,3,0,0,3,No,Express,176.81,58.94
1019,43,Femenino,Sur,1458,Oro,Anuncio Pago,Movil,6.6,8,23,7,0,0,7,Sí,Estandar,144.57,20.65
1020,42,Masculino,Oeste,1246,Oro,Busqueda Organica,Movil,5.1,4,2,8,2,0,5,No,Estandar,146.2,29.24
1021,34,Masculino,Oeste,1012,Plata,Redes Sociales,Desktop,10.4,13,11,4,2,0,7,No,Express,179.95,25.71
1022,55,Femenino,Sur,336,Plata,Busqueda Organica,Movil,20.6,13,13,2,0,0,6,No,Estandar,208.78,34.8
1023,36,Femenino,Norte,169,Plata,Email,Movil,9.1,7,11,3,2,0,6,No,Express,147.78,24.63
1024,39,Masculino,Oeste,1160,Oro,Anuncio Pago,Movil,5.9,6,15,6,0,2,4,Sí,Estandar,139.98,34.99
1025,42,Masculino,Sur,1035,Plata,Busqueda Organica,Movil,2.4,2,33,2,1,0,4,Sí,Estandar,71.37,17.84
1026,39,Femenino,Norte,1074,Oro,Busqueda Organica,Tablet,13.1,9,16,5,0,1,5,Sí,Estandar,129.19,25.84
1027,49,Femenino,Norte,603,Oro,Email,Desktop,17.9,14,16,6,0,0,5,Sí,Express,200.71,40.14
1028,40,Masculino,Sur,72,Bronce,Redes Sociales,Desktop,12.8,11,10,1,0,0,7,Sí,Estandar,110.36,15.77
1029,41,Femenino,Oeste,1213,Oro,Busqueda Organica,Tablet,4.9,5,27,10,1,0,3,No,Estandar,118.76,39.59
1030,60,Femenino,Norte,38,Bronce,Busqueda Organica,Movil,17.3,12,19,1,0,0,1,No,Estandar,106.02,106.02
1031,34,Femenino,Oeste,1036,Oro,Anuncio Pago,Movil,8.5,8,20,8,0,0,5,Sí,Estandar,154.19,30.84
1032,46,Femenino,Norte,756,Oro,Busqueda Organica,Tablet,7.5,5,27,6,0,0,3,No,Estandar,30.66,10.22
1033,18,Femenino,Este,1088,Oro,Redes Sociales,Movil,13.3,12,8,6,0,0,9,Sí,Estandar,222.69,24.74
1034,50,Femenino,Sur,77,Plata,Anuncio Pago,Movil,10,12,10,2,1,0,5,No,Dia Siguiente,163.1,32.62
1035,37,Femenino,Este,1453,Oro,Busqueda Organica,Movil,13.2,11,8,10,0,0,6,Sí,Estandar,144.37,24.06
1036,46,Femenino,Este,145,Plata,Anuncio Pago,Movil,13,9,3,3,0,0,5,Sí,Estandar,166.13,33.23
1037,41,Femenino,Sur,439,Plata,Email,Desktop,15.2,16,21,4,0,0,5,Sí,Dia Siguiente,152.04,30.41
1038,27,Femenino,Sur,987,Oro,Anuncio Pago,Movil,15.9,9,44,6,0,0,6,Sí,Estandar,180.02,30
1039,22,Masculino,Sur,1089,Plata,Email,Desktop,12.9,17,6,4,0,0,6,Sí,Express,175.67,29.28
1040,25,Masculino,Oeste,131,Bronce,Anuncio Pago,Desktop,3.9,5,51,1,1,0,3,No,Express,73.99,24.66
1041,44,Femenino,Este,822,Plata,Email,Movil,12.1,8,4,4,0,0,0,Sí,Express,0,0
